Subject,Description
Design and Analysis of Algorithm(Theory),"Unit – I 8 Hours
Introduction: Fundamentals of Algorithmic Problem Solving, Analysis Framework, Asymptotic
Notations and basic efficiency classes, Mathematical Analysis of Non-Recursive and Recursive
Algorithms, Brute Force Approaches: Introduction, Selection Sort, linear search.
Self learning topics: Short Tutorial on Recurrence Relations, Bubble Sort( 1Hr)
Unit – II 8 Hours
Algorithm Design Technique-I: Divide and Conquer, Decrease-and-Conquer Transform and Conquer,
the General approach and illustration.
Applications of Divide and Conquer technique: Binary Search, Merge Sort, Quick Sort and their
performance comparison. Counting Leaf-nodes, Tiling-Game Implementation.
Applications of Decrease and Conquer technique: Insertion Sort, Depth First Search and Breadth First
Search. Maze-Game implementation.
Applications of Transform and Conquer: Heaps and Heap Sort, Horner’s Rule. Clustering.
Self learning topics: Multiplication of Large Integers and Binary Exponentiation. (2 Hrs)
Unit – III 8 Hours
Algorithm Design Technique-II: The General Greedy Technique, Illustration with examples.
Applications of Greedy method:Kruskal’s Algorithm – Minimum-Cost Spanning Trees: Prim’s
Algorithm, Single Source Shortest Path - Dijkstra’s Algorithm, Huffman Trees – Encoding of Data.
Unit – IV 8 Hours
Algorithm Design Technique-III: Dynamic Programming Definition and Concept Illustration. The
General Method,
Applications of Dynamic programming:Warshall’s Algorithm – Transitive Closure, Floyd’s Algorithm
for the All-Pairs Shortest Paths, Knapsack using General Weights and 0/1 Knapsack. Longest Common
Difference – Used in implementation of Diff command and polynomial interpolation.
Self learning topics: Computing nCr, the dynamic approach (1 Hr)
Unit – V 8Hours
Algorithm Design Technique-IV: Backtracking, Branch-and-Bound, String Matching, basics and
illustrations.
Applications of backtracking: N - Queens’s problem, Hamiltonian Circuit Problem, Sum of Subset –
Problem and its use in public key cryptosystem. Graph coloring problem.
Applications of branch and bound: JobAssignment Problem, Knapsack Problem, Traveling
Salesperson Problem. Best First Search used in AI.
Applications string matching: Input Enhancement in String Matching, Horsepool’s method, Rabin-
Karp Algorithm. Used in Text processing toolkits like nltk.
Self learning topics: Naïve String Matching Algorithm. (1Hr)"
Software Engineering ( Theory),"Unit – I 8 Hours
Introduction: Professional Software Development: Software Engineering, Software Engineering Ethics. A Case
Study.
Software Process: Software Process models: The Waterfall model – A Case study, Incremental development,
Reuse- oriented software engineering, Process activities: Software specification, Software design and
implementation, Software validation, Coping with Change: Prototyping, Incremental Delivery, Boehm’s Spiral
Model.
Unit – II 8 Hours
Requirements Engineering: Functional and non-functional requirements: Functional requirements, non-
functional requirements, Case studies, The Software requirements document, Introduction to Requirements
specification, Requirements Engineering processes: Requirement Elicitation and Analysis.
Unit – III 8 Hours
Design Engineering: Context Models, Interaction Models, Design within the Context of Software Engineering
,Design Process and Design Quality, Design Concepts: Abstraction , Architecture, Patterns, Modularity ,
Information Hiding, Functional Independence, Refinement, Refactoring
Agile Software Development: Agile methods, Plan driven and Agile Development, Introduction to Extreme
Programming. Self Study: SCRUM
Unit – IV 8 Hours
Project Planning: Software pricing, Plan-driven Development: Project Plans, Planning process, Project
scheduling: Schedule Representation, Agile Planning, Estimation techniques: Algorithmic Cost Modeling. The
COCOMO II Model. Project Duration and Staffing.
Unit – V 8 Hours
Software Testing: Development Testing: Unit Testing, Choosing Unit Test Cases, Component Testing, System
Testing, Test Driven Development, Release Testing, Requirements Based Testing, Scenario Testing, Performance
Testing, User Testing. A Demo of Selenium."
Python Programming ( Integrated Lab),"Unit - I 8 Hours
Introduction to Python, use IDLE to develop programs, Basic coding skills, working with data types and
variables, working with numeric data, working with string data, Python functions, Boolean expressions,
selection structure, iteration structure, Illustrative Programs
Unit - II 8 Hours
Define and use functions and modules, Basic skills for working with lists, work with a list of lists, work
with tuples, get started with dictionaries, An introduction to file I/O, use text files, use CSV files, Handle a
single exception, handle multiple exceptions Illustrative programs
Unit - III 8 Hours
Object Oriented Programming, An introduction to classes and objects, define a class, work with object
composition, work with encapsulation, work with inheritance, override object methods, Using SQLite
Manager to work with a database, Using Python to work with a database, Creating a GUI that handles an
event Illustrative programs
Unit - IV 8 Hours
NumPy Basics: Arrays and Vectorized Computation: Creating ndarrays, Data Types for ndarrays,
Operations between Arrays and Scalars, Basic Indexing and Slicing, Indexing with slices, Boolean Indexing,
Transposing Arrays and Swapping Axes.
Unit – V 8 Hours
Introduction to Pandas, Pandas Objects, Operations in Pandas: Object creation, viewing data, selection,
Different ways of creating DataFrame, Handling missing data, merge and concat operations. Pivot and
Pivot table.
SciPy: Introduction to Optimization and Minimization, Interpolation, Integration, Statistics
"
Graph Theory and Discrete Mathematical Structures,"Unit-I 10 hrs
Fundamentals of Logic: Laws of Logic, Logical Implication-Rules of Inference. Quantifiers- Universal and
Existential Quantifiers, Proofs Techniques: direct, indirect and Contradiction.
Unit –II 10 hrs
Relations and Functions: Zero-One Matrices and Directed Graphs, Closure and Equivalence Relations and
Partitions, Partial Orders, Hasse Diagrams, Lattice, Properties of functions, Composition and Invertible functions.
Unit III 10 hrs
Advanced Counting Techniques: Sterling Number of second kind, Inclusion and Exclusion, Pigeonhole
Principle, Generating Function, Recurrence relations, Solution of Linear homogeneous and non-homogeneous
recurrence relations with constant coefficients, Divide and Conquer Algorithms, Merge sort algorithm.
Unit IV 10 hrs
Basic Graph Theory: Definitions and Examples, Subgraphs, Complements and Graph Isomorphism,
Connectivity, Euler Trails and Circuits, Planar Graphs, Hamiltonian Paths and Cycles, Coloring, Matching.
Unit V 10 hrs
Elementary Number Theory and Cryptography: Fields, Modular Arithmetic, Prime Numbers, Fermat’s and
Euler’s theorem. Testing of Primality, Chinese Remainder Theorem. Caesar Encryption/Decryption, RSA
Cryptosystem."
ENVIRONMENTAL STUDIES (MNC),"UNIT I 06 Hours
Definition of Environment, Ecology and Eco-system, Structure and functions of ecosystem, balanced ecosystem,
Introduction to Environmental Impact Assessment.
Natural Resources: Material Cycles - Oxygen, Carbon, Nitrogen and Hydrological cycle. Importance of water
quality, Water borne diseases, Water induced diseases, Significance of Fluoride in drinking water.
UNIT II 06 Hours
Energy - Different types of energy, Conventional and Non - Conventional sources – Advantages and Limitations
of Wind Mills, Hydro Electric, Fossil fuel, Nuclear, Solar, Biomass and Bio-gas, Geothermal energy.
UNIT III 06 Hours
Disasters - Natural Disasters: Meaning and nature of natural disasters, their types and effects (Floods, drought,
cyclone, earthquakes, Tsunami). Man Made Disasters: Nuclear disasters, chemical disasters, biological disasters,
building fire, coal fire, forest fire, oil fire, air pollution, water pollution, deforestation, industrial waste water
pollution and marine pollution.
UNIT IV 05 Hours
Disaster Management: International strategy for disaster reduction. Concept of disaster management and national
disaster management framework
UNIT V 05 Hours
Environmental Protection: Role of Government, Legal aspects, Initiatives by Non - Governmental Organizations
(NGO), Environmental Education, Women Education. E waste and solid waste management rules
"
Computer Networks,"Unit – I 10 Hours
Introduction to Computer Networks and the Internet: What Is the Internet?, The Network Edge, The
Network Core, Delay, Loss, and Throughput in Packet-Switched Networks, Protocol Layers and Their
Service Models.
Tutorials: Networks Under Attack, Introduction to network analysis tool- Wireshark
Unit – II 10 Hours
Application Layer: Principles of Network Applications, The Web and HTTP, File Transfer: FTP
Commands and Replies, Electronic Mail in the Internet, The Internet's Directory Service, Peer-to-Peer
Applications-Bit Torrent File distribution protocol.
Tutorials: Wireshark demonstration for HTTP and DNS, Introduction to RFC.
Unit – III 10 Hours
Transport Layer: Introduction and Transport-Layer Services, Multiplexing and De-multiplexing,
Connectionless Transport : UDP, Principles of Reliable Data Transfer: Go-Back-N and Selective Repeat,
Connection-Oriented Transport: TCP.
Tutorials: Programming assignment on Implementing a Reliable Transport Protocol and Using the
Wireshark for exploring the TCP and UDP
Unit – IV 10 Hours
The Network layer: Introduction, Virtual Circuit and Datagram Networks, What’s Inside a Router?, The
Internet Protocol (IP): Forwarding and Addressing in the Internet.
Tutorials : Introduction to Routing in the Internet-BGP, Wireshark for Exploring ICMP using ping and
trace-route
Unit – V 10 Hours
The Link Layer: Links, Access Networks, and LANs:
Introduction to the Link Layer, Error Detection and Correction Techniques, Multiple Access Links and
Protocols, Introduction to Link Virtualization and Data Center Networking.
Tutorials : Use of Wireshark in exploring Ethernet, ARP and DHCP"
Object Oriented Modeling and Design,"Unit – I 8 Hours
Introduction, Modeling Concepts, Class Modeling: Introduction to Object Orientated (OO)
development. OO themes; OO modeling history. Modeling as Design Technique: Modeling; abstraction;
The three models.
Class Modeling: Object and class concepts; Link and associations concepts; Generalization and
Inheritance. Introduction to association and aggregation.
Unit – II 8 Hours
State Modeling, Advanced State Modeling: State Modeling: Events, States, Transitions and
Conditions; State diagrams; State diagram behavior; Advanced State Modeling: Nested state diagrams;
Nested states.
Unit – III 7 Hours
Interaction Modeling, Advanced interaction Modeling: Interaction Modeling: Use case models;
Sequence models; Activity models. Use case relationships; Procedural sequence models; Special
constructs for activity models.
Unit – IV 8 Hours
Domain Analysis: Overview of domain analysis; Domain class model; Domain state model; Domain
interaction model; Iterating the analysis.
Unit – V 8 Hours
Application Analysis: Application interaction model; Application class model; Overview of class
Design."
Unix System Programming,"Unit – I 10 Hours
Introduction to UNIX and its Commands: UNIX and ANSI Standards: The ANSI C Standard, The
ANSI/ISO C++ Standards, Difference between ANSI C and C++, The POSIX Standards, The POSIX.1
FIPS Standard. UNIX and POSIX APIs: The POSIX APIs, The UNIX and POSIX Development
Environment, API Common Characteristics, The File System: The File, What’s in a (File)name, The
Parent-Child relationship, The UNIX File System, pwd, Absolute pathnames, cd, Relative pathnames,
mkdir, rmdir, cp, rm, mv, cat, ls.
Unit – II 10 Hours
UNIX Files: File Types, The UNIX and POSIX File System, The UNIX and POSIX File Attributes,
Inodes in UNIX System V, Application Program Interface to Files, UNIX Kernel Support for Files,
General File APIs, Directory File APIs , Device File APIs, FIFO File APIs , Symbolic Link File APIs,
File and Record Locking.
Unit – III 10 Hours
UNIX Processes: The Environment of a UNIX Process: Introduction, main function, Process
Termination, Command-Line Arguments, Environment List, Memory Layout of a C Program, Shared
Libraries, Memory Allocation, Environment Variables, setjmp and longjmp Functions, getrlimit, setrlimit
Functions, UNIX Kernel Support for Processes.
Unit – IV 10 Hours
Signals and Daemon Processes: Signals: The UNIX Kernel Support for Signals, signal, Signal Mask,
sigaction, The SIGCHLD Signal and waitpid API, The sigsetjmp and siglongjmp Functions, kill, alarm,
Interval Timers.
Daemon Processes: Introduction, Daemon Characteristics, Coding Rules, Error Logging, Client-Server
Model.
Unit – V 10 Hours
Inter-process Communication: Introduction, Pipes, popen and pclose Functions, Co-processes, FIFOs,
Message Queues, Semaphores, Shared Memory."
Formal languages and Automata Theory,"Unit – I 10 Hours
Introduction to Finite Automata: Introduction to Finite Automata, Structural Representation. The
central concepts of Automata theory – Alphabet, Strings & Languages. Deterministic Finite Automata
(DFA), Non-Deterministic and Equivalence of NFA and DFA,
Self learning: FA with Epsilon (ε) transitions and Applications of Finite automata.
Unit – II 10 Hours
Regular Expressions and languages: Regular Expressions, Finite Automata and Regular Expressions,
Properties of Regular Languages (RL): Proving Languages not to be Regular. Equivalence and
Minimization of Automata.
Self learning : Closure properties of Regular Languages and Applications of Regular Expressions
Unit – III 10 Hours
Context-Free Grammars (CFG) and Languages (CFL): Context-Free Grammars, Parse Trees,
Applications of Context-Free Grammars, Ambiguity in Grammars and Languages. Normal forms for
Context Free Grammar.
Self learning: Closure properties and Pumping lemma for Context Free Languages.
Unit – IV 10 Hours
Pushdown Automata (PDA): Definition of Pushdown Automata, The languages of a PDA: Acceptance
by Final state & Empty stack.
Introduction to Turing Machines (TM): Turing Machine model: Definition of Turing Machine,
Transition Function, Instantaneous Description & Moves, Programming a Turing Machine, Language
recognition by Turing Machine.
Self learning: Deterministic Pushdown Automata,Turing Machine as a acceptors,Turing Machine as
Transducers.
Unit – V 10 Hours
LEX and YACC Tools: The Simplest Lex Program, Recognizing Words with Lex. Grammars: Parser-
lexer communication, A Yacc Parser, Rules section. Running Lex and Yacc and examples
Using Lex: Regular Expressions and examples.
Using Yacc: Shift reduce parsing, Arithmetic Expressions and Ambiguity."
Advanced Web Programming,"Unit – I 09 Hours
An Ajax Overview: Introducing Ajax, Examples of real world Applications, Back to the joke of the day
application. Understanding the Document Object Model: The ajax story of the day application, An
introduction to the document Object model, The Dom tree, Walking the DOM tree, Dynamically updating
the Page content. Ajax Basics: Connecting your application to web servers, working with the
XMLHttpRequest Object, Managing the current XMLHttpRequests. Important Ajax design Issues:
Programming hurdles that all Ajax developers face.
Self learning topics: project preview : The joke of the day application , The Ajax story of the day
application, Ajax Typing challenge,
Unit – II 07 Hours
Introducing Full Stack Development: Node.js, Express, MongoDB, AngularJS, Supporting cast;
Designing a MEAN stack architecture: Planning a real application, breaking the development into
stages, Hardware Architecture
Unit – III 08 Hours
Building Node Application: A brief look at Express, Node and npm, Create Express Project, Modifying
Express for MVC, Import Bootstrap for responsive layout, Setting up Heroku, Building a static site with
Node and Express: Defining routes in Express, Building basic controllers, Creating views.
Unit – IV 07 Hours
Connecting Express application to MongoDB, why model data?, Defining Mongoose schemas,
Database development with MongoDB and Mongoose, Getting our database live ,Installing the
stack and supporting softwares.
Unit – V 08 Hours
Rules of REST API, Setting up the API in Express, GET, POST,PUT and DELETE methods; Consuming
a REST API: Call an API from Express, Using Lists of data from API, Getting single documents from
API, Adding data to the database via API, Protecting data Integrity with data validation, writing modular
JavaScript and JavaScript callbacks."
Advanced Java,"Unit – I 08 Hours
Java I/O: Byte streams and Character streams, The Byte Stream classes, The Character Stream classes,
Predefined streams, Using Byte Streams, Using Java’s Type Wrappers to Convert Numeric Strings.
Unit – II 08 Hours
File I/O: Reading and Writing Files using Byte Streams, Automatically closing a file, Reading and
Writing Binary data, Random-Access Files, Using Java’s Character-based Streams, File I/O using
Character Streams
Unit – III 08 Hours
Multithreaded Programming: Multithreading Fundamentals, The Thread class and Runnable interface,
Creating a thread, Creating multiple threads, Determining when a thread ends, Thread Priorities,
Synchronization, Using Synchronized Methods, The synchronized statement, Thread communication using
notify(), wait() and notifyall(), Suspending, Resuming and Stopping threads
Unit – IV 08 Hours
JDBC: The Concept of JDBC; JDBC Driver Types; JDBC Packages; A Brief Overview of the JDBC
process; Database Connection; Associating the JDBC/ODBC Bridge with the Database; Statement
Objects; ResultSet; Transaction Processing - commit(), rollback(), SavePoint.
Unit – V 08 Hours
Servlets: Background; The Life Cycle of a Servlet; Using Tomcat for Servlet Development; A simple
Servlet; The Servlet API; The Javax.servlet Package; Reading Servlet Parameter; The Javax.servlet.http
package; Handling HTTP Requests and Responses; Using Cookies; Session Tracking."
