Subject,Description
software engineering ( theory):," introduction: professional software development: software engineering, software engineering ethics. a casestudy.
software process: software process models: the waterfall model – a case study, incremental development,
reuse- oriented software engineering, process activities: software specification, software design andimplementation, software validation, coping with change: prototyping, incremental delivery, boehm’s spiralmodel.
 requirements engineering: functional and non-functional requirements: functional requirements, non-
functional requirements, case studies, the software requirements document, introduction to requirementsspecification, requirements engineering processes: requirement elicitation and analysis.
 design engineering: context models, interaction models, design within the context of software engineering
,design process and design quality, design concepts: abstraction , architecture, patterns, modularity ,
information hiding, functional independence, refinement, refactoringagile software development: agile methods, plan driven and agile development, introduction to extremeprogramming. self study: scrum project planning: software pricing, plan-driven development: project plans, planning process, projectscheduling: schedule representation, agile planning, estimation techniques: algorithmic cost modeling. thecocomo ii model. project duration and staffing.
 software testing: development testing: unit testing, choosing unit test cases, component testing, systemtesting, test driven development, release testing, requirements based testing, scenario testing, performancetesting, user testing. a demo of selenium."
python programming ( integrated lab):," introduction to python, use idle to develop programs, basic coding skills, working with data types andvariables, working with numeric data, working with string data, python functions, boolean expressions,
selection structure, iteration structure, illustrative programsunit - ii define and use functions and modules, basic skills for working with lists, work with a list of lists, workwith tuples, get started with dictionaries, an introduction to file i/o, use text files, use csv files, handle asingle exception, handle multiple exceptions illustrative programsunit - iii object oriented programming, an introduction to classes and objects, define a class, work with objectcomposition, work with encapsulation, work with inheritance, override object methods, using sqlitemanager to work with a database, using python to work with a database, creating a gui that handles anevent illustrative programsunit - iv numpy basics: arrays and vectorized computation: creating ndarrays, data types for ndarrays,
operations between arrays and scalars, basic indexing and slicing, indexing with slices, boolean indexing,
transposing arrays and swapping axes.
 introduction to pandas, pandas objects, operations in pandas: object creation, viewing data, selection,
different ways of creating dataframe, handling missing data, merge and concat operations. pivot andpivot table.
scipy: introduction to optimization and minimization, interpolation, integration, statistics
"
graph theory and discrete mathematical structures:," fundamentals of logic: laws of logic, logical implication-rules of inference. quantifiers- universal andexistential quantifiers, proofs techniques: direct, indirect and contradiction.
unit –ii relations and functions: zero-one matrices and directed graphs, closure and equivalence relations andpartitions, partial orders, hasse diagrams, lattice, properties of functions, composition and invertible functions.
unit iii advanced counting techniques: sterling number of second kind, inclusion and exclusion, pigeonholeprinciple, generating function, recurrence relations, solution of linear homogeneous and non-homogeneousrecurrence relations with constant coefficients, divide and conquer algorithms, merge sort algorithm.
unit iv basic graph theory: definitions and examples, subgraphs, complements and graph isomorphism,
connectivity, euler trails and circuits, planar graphs, hamiltonian paths and cycles, coloring, matching.
unit v elementary number theory and cryptography: fields, modular arithmetic, prime numbers, fermat’s andeuler’s theorem. testing of primality, chinese remainder theorem. caesar encryption/decryption, rsacryptosystem."
environmental studies (mnc):," definition of environment, ecology and eco-system, structure and functions of ecosystem, balanced ecosystem,
introduction to environmental impact assessment.
natural resources: material cycles - oxygen, carbon, nitrogen and hydrological cycle. importance of waterquality, water borne diseases, water induced diseases, significance of fluoride in drinking water.
unit ii energy - different types of energy, conventional and non - conventional sources – advantages and limitationsof wind mills, hydro electric, fossil fuel, nuclear, solar, biomass and bio-gas, geothermal energy.
unit iii disasters - natural disasters: meaning and nature of natural disasters, their types and effects (floods, drought,
cyclone, earthquakes, tsunami). man made disasters: nuclear disasters, chemical disasters, biological disasters,
building fire, coal fire, forest fire, oil fire, air pollution, water pollution, deforestation, industrial waste waterpollution and marine pollution.
unit iv 05 hoursdisaster management: international strategy for disaster reduction. concept of disaster management and nationaldisaster management frameworkunit v 05 hoursenvironmental protection: role of government, legal aspects, initiatives by non - governmental organizations
(ngo), environmental education, women education. e waste and solid waste management rules
"
computer networks:," introduction to computer networks and the internet: what is the internet?, the network edge, thenetwork core, delay, loss, and throughput in packet-switched networks, protocol layers and theirservice models.
tutorials: networks under attack, introduction to network analysis tool- wireshark application layer: principles of network applications, the web and http, file transfer: ftpcommands and replies, electronic mail in the internet, the internet's directory service, peer-to-peerapplications-bit torrent file distribution protocol.
tutorials: wireshark demonstration for http and dns, introduction to rfc.
 transport layer: introduction and transport-layer services, multiplexing and de-multiplexing,
connectionless transport : udp, principles of reliable data transfer: go-back-n and selective repeat,
connection-oriented transport: tcp.
tutorials: programming assignment on implementing a reliable transport protocol and using thewireshark for exploring the tcp and udp the network layer: introduction, virtual circuit and datagram networks, what’s inside a router?, theinternet protocol (ip): forwarding and addressing in the internet.
tutorials : introduction to routing in the internet-bgp, wireshark for exploring icmp using ping andtrace-route the link layer: links, access networks, and lans:
introduction to the link layer, error detection and correction techniques, multiple access links andprotocols, introduction to link virtualization and data center networking.
tutorials : use of wireshark in exploring ethernet, arp and dhcp"
object oriented modeling and design:," introduction, modeling concepts, class modeling: introduction to object orientated (oo)
development. oo themes; oo modeling history. modeling as design technique: modeling; abstraction;
the three models.
class modeling: object and class concepts; link and associations concepts; generalization andinheritance. introduction to association and aggregation.
 state modeling, advanced state modeling: state modeling: events, states, transitions andconditions; state diagrams; state diagram behavior; advanced state modeling: nested state diagrams;
nested states.
 7 hoursinteraction modeling, advanced interaction modeling: interaction modeling: use case models;
sequence models; activity models. use case relationships; procedural sequence models; specialconstructs for activity models.
 domain analysis: overview of domain analysis; domain class model; domain state model; domaininteraction model; iterating the analysis.
 application analysis: application interaction model; application class model; overview of classdesign."
unix system programming:," introduction to unix and its commands: unix and ansi standards: the ansi c standard, theansi/iso c++ standards, difference between ansi c and c++, the posix standards, the posix.1fips standard. unix and posix apis: the posix apis, the unix and posix developmentenvironment, api common characteristics, the file system: the file, what’s in a (file)name, theparent-child relationship, the unix file system, pwd, absolute pathnames, cd, relative pathnames,
mkdir, rmdir, cp, rm, mv, cat, ls.
 unix files: file types, the unix and posix file system, the unix and posix file attributes,
inodes in unix system v, application program interface to files, unix kernel support for files,
general file apis, directory file apis , device file apis, fifo file apis , symbolic link file apis,
file and record locking.
 unix processes: the environment of a unix process: introduction, main function, processtermination, command-line arguments, environment list, memory layout of a c program, sharedlibraries, memory allocation, environment variables, setjmp and longjmp functions, getrlimit, setrlimitfunctions, unix kernel support for processes.
 signals and daemon processes: signals: the unix kernel support for signals, signal, signal mask,
sigaction, the sigchld signal and waitpid api, the sigsetjmp and siglongjmp functions, kill, alarm,
interval timers.
daemon processes: introduction, daemon characteristics, coding rules, error logging, client-servermodel.
 inter-process communication: introduction, pipes, popen and pclose functions, co-processes, fifos,
message queues, semaphores, shared memory."
formal languages and automata theory:," introduction to finite automata: introduction to finite automata, structural representation. thecentral concepts of automata theory – alphabet, strings & languages. deterministic finite automata
(dfa), non-deterministic and equivalence of nfa and dfa,
self learning: fa with epsilon (ε) transitions and applications of finite automata.
 regular expressions and languages: regular expressions, finite automata and regular expressions,
properties of regular languages (rl): proving languages not to be regular. equivalence andminimization of automata.
self learning : closure properties of regular languages and applications of regular expressions context-free grammars (cfg) and languages (cfl): context-free grammars, parse trees,
applications of context-free grammars, ambiguity in grammars and languages. normal forms forcontext free grammar.
self learning: closure properties and pumping lemma for context free languages.
 pushdown automata (pda): definition of pushdown automata, the languages of a pda: acceptanceby final state & empty stack.
introduction to turing machines (tm): turing machine model: definition of turing machine,
transition function, instantaneous description & moves, programming a turing machine, languagerecognition by turing machine.
self learning: deterministic pushdown automata,turing machine as a acceptors,turing machine astransducers.
 lex and yacc tools: the simplest lex program, recognizing words with lex. grammars: parser-
lexer communication, a yacc parser, rules section. running lex and yacc and examplesusing lex: regular expressions and examples.
using yacc: shift reduce parsing, arithmetic expressions and ambiguity."
advanced web programming:," an ajax overview: introducing ajax, examples of real world applications, back to the joke of the dayapplication. understanding the document object model: the ajax story of the day application, anintroduction to the document object model, the dom tree, walking the dom tree, dynamically updatingthe page content. ajax basics: connecting your application to web servers, working with thexmlhttprequest object, managing the current xmlhttprequests. important ajax design issues:
programming hurdles that all ajax developers face.
self learning topics: project preview : the joke of the day application , the ajax story of the dayapplication, ajax typing challenge,
 07 hoursintroducing full stack development: node.js, express, mongodb, angularjs, supporting cast;
designing a mean stack architecture: planning a real application, breaking the development intostages, hardware architecture building node application: a brief look at express, node and npm, create express project, modifyingexpress for mvc, import bootstrap for responsive layout, setting up heroku, building a static site withnode and express: defining routes in express, building basic controllers, creating views.
 07 hoursconnecting express application to mongodb, why model data?, defining mongoose schemas,
database development with mongodb and mongoose, getting our database live ,installing thestack and supporting softwares.
 rules of rest api, setting up the api in express, get, post,put and delete methods; consuminga rest api: call an api from express, using lists of data from api, getting single documents fromapi, adding data to the database via api, protecting data integrity with data validation, writing modularjavascript and javascript callbacks."
advanced java:," java i/o: byte streams and character streams, the byte stream classes, the character stream classes,
predefined streams, using byte streams, using java’s type wrappers to convert numeric strings.
 file i/o: reading and writing files using byte streams, automatically closing a file, reading andwriting binary data, random-access files, using java’s character-based streams, file i/o usingcharacter streams multithreaded programming: multithreading fundamentals, the thread class and runnable interface,
creating a thread, creating multiple threads, determining when a thread ends, thread priorities,
synchronization, using synchronized methods, the synchronized statement, thread communication usingnotify(), wait() and notifyall(), suspending, resuming and stopping threads jdbc: the concept of jdbc; jdbc driver types; jdbc packages; a brief overview of the jdbcprocess; database connection; associating the jdbc/odbc bridge with the database; statementobjects; resultset; transaction processing - commit(), rollback(), savepoint.
 servlets: background; the life cycle of a servlet; using tomcat for servlet development; a simpleservlet; the servlet api; the javax.servlet package; reading servlet parameter; the javax.servlet.httppackage; handling http requests and responses; using cookies; session tracking."
advanced algorithms:," review of analysis techniques: standard notations and common functions; recurrences and solution ofrecurrence equations- the substitution method, the recurrence – tree method, the master method; amortizedanalysis: aggregate, counting and potential method.
 graph algorithms: johnson‘s algorithm for sparse graphs; detecting negative cycle-floyd warshalalgorithm. single source shortest path in dag. flow networks and ford-fulkerson method. graph coloringalgorithm.
 number-theoretic algorithms: theoretic algorithms: elementary notions; gcd, extended euclid;
solving modular linear equations; powers of an element; modular inverse, chinese remainder theorem,
fermat‘s theorem, miller-rabin for primality test. rsa cryptosystem.
 string-matching algorithms: naïve string matching; rabin - karp algorithm; string matching with finiteautomata and its time complexity; knuth-morris-prat algorithm and its time complexity, boyer – moorealgorithms.
 probabilistic and randomized algorithms: deterministic and non-deterministic algorithms, concept of np-
hard and np-complete. tsp example. probabilistic algorithms; randomizing deterministic algorithms, montecarlo and las vegas algorithms."
data warehousing and data mining:," data mining: introduction, what is data mining?, data mining – on what kind of data? data miningfunctionalities-what kinds of patterns can be mined?, classification of data mining systems, majorissues in data mining.
 data warehouse and olap technology: what is data warehouse? a multidimensional datamodel, data warehouse architecture. from data warehouse to data mining.
self-learning topics: weka tool data pre-processing: why preprocess the data? data cleaning, data integration and transformation,
data reduction.
self-learning topics: weka tool classification and prediction: what is classification and prediction? issues regarding classificationand prediction. classification by decision tree induction. bayesian classification. backpropagation.
self learning topics: weka tool for analysis cluster analysis: what is cluster analysis? types of data in cluster analysis, categarization ofmajor clustering methods. partitioning methods."
nosql:," why nosql? aggregate data models, more details on data models, distribution models,
consistency, version stamps, map-reduce.
 implement: key-value databases, document databases, column-family stores, graph databases,
choosing your database.
 mongodb: introduction, creating, updating, and deleting documents, querying introduction to cassandra: the cassandra data model, reading and writing data: query basic writeproperties, basic read properties, deleting.
 redis: getting to know redis: what is redis? , what does redis data structures look like, anatomy ofredis web application, commands in redis, building a simple social network."
enterprise resource planning:," introduction to erp: overview, business processes, introduction to erp, benefits of erp, erp andrelated technologies, business process reengineering, data warehousing, data mining, on–lineanalytical processing, supply chain management.
 08hourserp implementation: implementation life cycle, implementation methodologies, hidden costs,
vendors and consultants, contracts with vendors, consultants, and employees, project managementand monitoring.
 business modules: business modules in an erp package, financials, manufacturing, human resourcemanagement, plant maintenance, materials management, quality management, sales, distribution, andservice.
 erp market dynamics: erp market place and marketplace dynamics, erp vendors.
two case studies such as data span, lg electronics, tata motors.
self learning topics: system software associates erp –present and future: turbo charge the erp system, eia, erp and e–business, erp,internet,andwww-erp ii ,erp and total quality management.
self learning topics: future directions and trends in erp, working of google search engine."
project management:," introduction to software project management: introduction ,why is software project management important,
what is project, software projects versus other types of project, contract management and technical projectmanagement, activities covered by software project management, plans methods and methodologies some waysof categorizing software projects, stakeholders, selling objectives, the business case, project success and failure,
what is management, management control, traditional versus modern project management practicesproject evaluation and programme management: introduction, a business case, project portfoliomanagement, evaluation of individual projects. cost benefit evaluation technique, risk evaluation, programmemanagement, managing the allocation of resources within programme, strategic programme management,
creating a programme, aids to programme management, some reservations about programme management,
benefit managementunit ii risk management: introduction, risk, categories of risk, a framework for dealing with risk, risk identification,
risk assessment, risk planning, risk management, evaluating risks to the schedule, applying the perttechnique, monte carlo simulation, critical chain concepts.
resource allocation: introduction, the nature of resources, identifying resource requirements, schedulingresources, creating critical paths, counting the cost, being specific, publishing the resource schedule, costschedules, the scheduling sequence.
unit iii monitoring and control: introduction, creating the framework, collecting the data, review, project terminationreview, visualising progress, cost monitoring, earned value analysis, prioritizing monitoring, getting the projectback to target, change control, software configuration management(scm).
managing contracts: introduction, types of contracts, stages in contract placement, typical terms of a contract,
contract management, acceptance.
unit iv managing people in software environment: introduction, understanding behaviour, organizational behaviour:
a background, selecting the right person for job, instruction in the best methods, motivation, the oldham-
hackman job characteristics model, stress, health and safety, some ethical and professional concernsworking in teams: introduction, becoming a team, decision making, organization and team structures,
coordination dependencies, dispersed and virtual teams, communication genres, communication plans,
leadershipunit v software quality: introduction, the place of software quality in project planning, the importance of softwarequality, defining software quality, iso 9126, product and process metrics, product versus process qualitymanagement, quality management systems, process capability models, techniques to help enhance softwarequality, testing, software reliability, quality plans"
principles of cyber security:," ethical hacking: overview of ethics, overview of ethical hacking, methodology of ethical hacking,
networkingfoundations: communications models, topologies, physical networking, ip, tcp, udp, internetcontrol message protocol, network architectures, cloud computing,
 security foundations: the triad, risk, policies, standards, and procedures, security technology,
being prepared;
footprinting and reconnaissance: open-source intelligence, domain name system, passivereconnaissance, website intelligence, technology intelligence,
 scanning networks: ping sweeps, port scanning, vulnerability scanningenumeration: service enumeration, remote procedure calls, server message block, web-basedenumeration system hacking: searching for exploits, system compromise, gathering passwords, passwordcracking, client-side vulnerabilities, post exploitationmalware: malware types, malware analysis, antivirus solutions, spoofing attackssubject code: 18cs564 credits: 3course type: oe cie marks: 50hours/week: l – t – p 3 – 0 – 0 see marks: 50total hours: 40 seeduration:
3 hours social engineering: social engineering, physical social engineering, phishing attacks, websiteattackscryptography: basic encryption, symmetric key cryptography, asymmetric key cryptography,"
object oriented programming using c++:,"unit– i beginning with c++ and its features: what is c++?, applications and structure of c++ program,
different data types, variables, different operators, expressions, operator overloading and controlstructures in c++.
 functions, classes and objects: functions, inline function, function overloading, friend and virtualfunctions, specifying a class, c++ program with a class, memory allocation to objects, array of objects.
 constructors, destructors and operator overloading: constructors, multiple constructors in a class, copyconstructor, dynamic constructor, destructors, overloading unary and binary operators.
unit– iv inheritance, pointers, virtual functions, polymorphism: derived classes, single, multilevel, multipleinheritance, pointers to objects and derived classes, this pointer, virtual and pure virtual functions.
unit– v templates & standard template library (stl): introduction, need and use of templates, function templatesand class templates; stl: introduction, containers, algorithms and iterators."
