|Doctorate :|Job Applicants:|Openings:|PG :|Posted:|UG :|experience|job_desc|key_skills|position|salary
365||16|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|1 - 3 years|"Job description
Openings for the position of iOS Developer (Swift)
Who Can ApplyBachelors or Masters degree in information technology, computer science or equivalent
1- 3 years of work experience in Swift development
About The Role:
We are looking for an iOS (Swift) developer responsible for the development and maintenance of our application aimed at a vast number of diverse iOS devices.
Your primary focus will be the development of our iOS application and its integration with back- end services. You will be working along- side other engineers and developers working on different layers of the infrastructure.
Therefore, commitment to collaborative problem solving, sophisticated design, and creating quality products is essential.
Key Responsibilities:
Design and build applications for iOS using Swift
Ensure the performance, quality, and responsiveness of applications
Collaborate with a team to define, design, and ship new features
Identify and correct bottlenecks and fix bugs
Help maintain code quality, organization and automatization
Key Skills:
Proficient in Swift, with a good knowledge of its ecosystems
Solid understanding of object- oriented programming
Experience with Cocoa APIs on OS X
Good knowledge of performance limits and characteristics
Knowledge of memory management and multi- threading
Experience with embedded databases and other system datastores
Familiarity with RESTful APIs to connect to back- end services
Good sense of UI design and a user- oriented focus
Knowledge of low- level C- based libraries is a plus
Implementation of automated testing platforms and unit tests
Knack for benchmarking and optimization
Understanding of Apples design principles and interface guidelines
Proficient understanding of code versioning tools, such as Git
Familiarity with continuous integration
RoleSoftware Developer
Industry TypeFilm / Music / Entertainment
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
Computer sciencecontinuous integrationBackendgithubAutomation testingGITMultithreadingMemory managementInformation technologyObject oriented programming"|['Computer science', 'continuous integration', 'Backend', 'github', 'Automation testing', 'GIT', 'Multithreading', 'Memory management', 'Information technology', 'Object oriented programming']|iOS Developers|Not Disclosed
366||45|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|1 - 2 years|"Job description
Openings for the position of React.js Developer
Who Can ApplyBachelors or Masters degree in information technology, computer science or equivalent
1- 2 years of work experience in React.js development
About The Role:
We are looking for a great JavaScript developer who is proficient with React.js. Your primary focus will be on developing user interface components and implementing them following well- known React.js workflows (such as Flux or Redux).
You will ensure that these components and the overall application are robust and easy to maintain. You will coordinate with the rest of the team working on different layers of the infrastructure.
Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product is important.
Key Responsibilities:
Reviewing and understanding business requirements working with cross- functional teams
Developing and enhancing user- facing features using React.js in accordance with design and consistent with business objectives
Building reusable components and front- end libraries for future use
Translating designs and wireframes into high quality code
Optimizing components for maximum performance across a vast array of web- capable devices and browsers
Key Skills:
Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model
Thorough understanding of React.js and its core principles
Experience with popular React.js workflows (such as Flux or Redux)
Familiarity with newer specifications of EcmaScript
Experience with data structure libraries (e.g., Immutable.js)
Knowledge of isomorphic React is a plus
Familiarity with RESTful APIs
Knowledge of modern authorization mechanisms, such as JSON Web Token
Familiarity with modern front- end build pipelines and tools
Experience with common front- end development tools such as Babel, Webpack, NPM, etc.
Ability to understand business requirements and translate them into technical requirements
A knack for benchmarking and optimization
Familiarity with code versioning tools such as Git
RoleSoftware Developer
Industry TypeFilm / Music / Entertainment
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
Computer scienceProduct qualitygithubFront endDOMGITWeb technologiesInfrastructureJSONInformation technology"|['Computer science', 'Product quality', 'github', 'Front end', 'DOM', 'GIT', 'Web technologies', 'Infrastructure', 'JSON', 'Information technology']|React.js Developers|Not Disclosed
367||33|1|Post Graduation Not Required|30+ days ago|B.A in English|1 - 5 years|"Job description


Implementing various elements of companys content marketing strategy as instructed

Optimizing current copy on a companys website (page titles, meta descriptions, h1s, alts, anchor text, etc.)

Writing new SEO- friendly copy for pages on company website

Blog writing and posting

Infographic creation and promotion

Typing in the particular language without spelling mistakes

Requirements:

Excellent verbal and written communication skills

A working knowledge of SEO and how it applies to content marketing

Basic knowledge of HTML

Extreme attention to detail

The ability to multitask and adhere to deadlines

Flexibility to evolve strategies quickly & effectively

Experience in Wordpress and Blogger (preferred)

How to Apply: Please describe the job code and the position for which you are applying.

We are live and ready to chat with you now. Say something to start a live chat.

Warning : Sorry, file transfer is limited to 5 files at a time. Please try the following file(s) again :

Warning : Sorry, file transfer is limited to 50mb per file. Please compress the following file(s) and try again.

RoleContent Developer
Industry TypeIT Services & Consulting
Functional AreaJournalism, Editing, Content
Employment TypeFull Time, Permanent
Role CategoryContent Development
Education
UG :B.A in English
PG :Post Graduation Not Required
Key Skills
BasicBlog writingWordpressHTMLcontent marketingSEOMonitoringMarketing strategy"|['Basic', 'Blog writing', 'Wordpress', 'HTML', 'content marketing', 'SEO', 'Monitoring', 'Marketing strategy']|Content Writer|Not Disclosed
368||Less than 10|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|5 - 10 years|"Job description
We're looking for a smart & motivated Java Developer happy to work in a fast- paced start- up culture. You, on GREX, will be a part of a highly talented team building the next generation of financial products.

Key Responsibilities: Work with the business or process analysts to identify and understand business requirements Translate the business requirements into specific system, application, or process designs Perform coding, testing, and deployment of application code as per the design specifications Develop candidate architectures, detailed application designs, data/ object models, interface architectures, and do performance modeling Assess the quality of application (code, design, functional and nonfunctional capabilities) and develop detailed analysis containing issues and recommendations Provide other developers with advice on system/ application/ process designs, and teach them emerging technologies Skills Required: 5 to 14 years of software application design, coding, and testing experience Expert- level proficiency in Java, Spring, REST, and Hibernate technologies Strong background in Application Design and Development using OOAD (Object- Oriented Analysis and Design) techniques and UML Hands- on experience of web technologies such as JQuery, JavaScript, AJAX, HTML, CSS, etc. Good SQL and PL/ SQL programming skills Knowledge of Elasticsearch will be an added advantage Experience with source code control software and build automation tools (Subversion, Maven, etc.) Ability to analyze problems and offer intelligent insight and solutions Ability to communicate effectively with good interpersonal and team skills Bachelor s degree in Computer Science, Information Technology, or equivalent experience We, at GREX, are looking for passionate coders and technology enthusiasts, who are problem solvers at heart. Developers here are involved in everything from understanding the user problem, identifying solutions, brainstorming on the tech stack to be used, to architecture, deployment and scaling.

Work with the business/ process analysts to identify and understand business requirements of the platform Translate the business requirements into specific systems, applications/ process designs Coding, testing, and deployment of application code with respect to design specifications Proficiency in Java, Spring, REST, and Hibernate technologies 1 to 4 years of software application design, coding, and testing experience. (No one will have all the three, you might want to say design, coding or testing experience) Strong background in Application Design and Development using OOAD (Object- Oriented Analysis and Design) techniques and UML Hands- on experience of web technologies such as JQuery, JavaScript, AJAX, HTML, CSS, etc. SQL and PL/ SQL programming skills Experience with source code control software and build automation tools (Subversion, Maven, etc.) Ability to analyse problems and offer intelligent insights Ability to communicate effectively with good interpersonal and team skills Bachelor s degree in Computer Science, Information Technology, or equivalent experience
RoleSoftware Developer
Industry TypeEducation / Training
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
MavencodesoftwareHTMLtoolssqljavaautomationCodingwebdesignJavascriptprogrammingAjaxdeploymentHibernatedevelopmentlevelOOADtestingInformation technologyqualityjQueryapplicationUMLdeveloper"|['Maven', 'software', 'HTML', 'tools', 'sql', 'java', 'automation', 'Coding', 'web', 'design', 'Javascript', 'programming', 'Ajax', 'deployment', 'Hibernate', 'development', 'level', 'OOAD', 'testing', 'Information technology', 'quality', 'jQuery', 'application', 'UML', 'developer']|Senior Java Developer Associate|Not Disclosed
369||40|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|1 - 3 years|"Job description
Android Developer Min. Experience : 1 - 3 years

RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
JAVABusiness AnalystsdevelopmentArchitectsXMLdesignandroidSQL. AndroiddeveloperPLLead DevelopersSQL"|['JAVA', 'Business Analysts', 'development', 'Architects', 'XML', 'design', 'android', 'developer', 'PL', 'Lead Developers', 'SQL']|Android Developer|Not Disclosed
370||10|1|Post Graduation Not Required|30+ days ago|Any Graduate|1 - 5 years|"Job description
Telecallers Qualified Lead Generation for Indian Market

Extensive experience in Cold Calling and Lead generation

Follow ups

Finding Relevant people through Research like LinkedIn, Google

Fix up Qualified meetings with senior people like CIOs, CTOs , Head Business/ Application/ IT

Develop and sustain effective new Business relationships with clients in order to leverage and set up effective commercial deals.

Send email campaigns/ newsletters and be able to Generate Leads through Email Campaigns, Webinars.

Assist in proposals, presentation preparations.

Excellent interpersonal, communication and presentation skills.

Exceptionally skilled at forging long- term relationships.

Able to handle all responsibilities pertaining to Business development.

Develop, implement, and manage our global business strategy

Experience of Selling technology or banking products online is preferred

Should be able to walk the extra mile if required to ensure business growth, self- starter and an independent thinker.

Only Female candidates to apply

RoleSales Executive/Officer
Industry TypeTelecom / ISP
Functional AreaSales, Retail, Business Development
Employment TypeFull Time, Permanent
Role CategoryCorporate Sales
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Cold callingLead generationHead Business DevelopmentManager TechnologyUPSBusiness strategyResearchManagementbanking productsManagement Head"|['Cold calling', 'Lead generation', 'UPS', 'Business strategy', 'Research', 'Management', 'banking products']|Telecallers|Not Disclosed
371||166|||14 days ago|Any Graduate|1 - 2 years|"Job description
Exp in security technologies as Security information IDS/IPS, Data Loss Prevention (DLP), Proxy, Endpoint detection and response (EDR), Anti-Virus, Sandboxing, network and host based firewalls, Threat Intelligence, Advanced Persistent Threats (APT).
RoleNetwork Administrator
Industry TypeIT Services & Consulting
Functional AreaIT Software - Network Administration, Security
Employment TypeFull Time, Permanent
Role CategoryAdmin/Maintenance/Security/Datawarehousing
Education
UG :Any Graduate
Key Skills
TCPNetworkingRemote SupportNetwork SecurityDNSHTTPDDOSCCNAFirewall"|['TCP', 'Networking', 'Remote Support', 'Network Security', 'DNS', 'HTTP', 'DDOS', 'CCNA', 'Firewall']|Immediate Opening For Network Security Engineer|Not Disclosed
372||44||MCA in Computers, MS/M.Sc(Science) in Computers, PG Diploma in Computers, M.Tech in Computers|14 days ago|BCA in Computers, B.Tech/B.E. in Computers, B.Sc in Computers|2 - 3 years|"Job description
Execute Test Plans,Test scenarios
Responsible for Automated Test Scripts for Web and Database applications
Building automated regression tests
Test across a variety of web browsers
Assist in debugging software

Required Candidate profile
Strong in Python MUST
Strong in Selenium MUST
RoleTesting Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :BCA in Computers, B.Tech/B.E. in Computers, B.Sc in Computers
PG :MCA in Computers, MS/M.Sc(Science) in Computers, PG Diploma in Computers, M.Tech in Computers
Key Skills
Software DeveloperSoftware DevelopmentAutomation TestSoftware TestingJavascriptAutomation Testingsoftware engineerSeleniumPython"|['Software Developer', 'Software Development', 'Automation Test', 'Software Testing', 'Javascript', 'Automation Testing', 'software engineer', 'Selenium', 'Python']|Automation Test Engineer - Python, Selenium|₹ 3,00,000 - 6,00,000 P.A.
373||303|10|PG Diploma in Electrical, Electronics|14 days ago|Diploma in Electrical, Electronics/Telecommunication, Engineering, B.Tech/B.E. in Any Specialization|2 - 7 years|"Job description
PLC - Step 7, TIA Portal, Microwin Smart
SCADA - Screens development, Alarms, Graphs & Trends, Recipe, SQL Installation, SQL Configuration,
SCADA to SQL Connection Script, VB Scripting in SCADA, C++ Scripting in SCADA

Required Candidate profile
Communication - MPI, Profibus, Profinet
Soft Skills - Email writing, English Speaking
Documentation - IO list preparation, FAT Document, SCADA control Narrative development
RoleIT/Networking-Manager
Industry TypeIndustrial Automation
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryAdmin/Maintenance/Security/Datawarehousing
Education
UG :Diploma in Electrical, Electronics/Telecommunication, Engineering, B.Tech/B.E. in Any Specialization
PG :PG Diploma in Electrical, Electronics
Key Skills
SCADA"|['SCADA']|Scada Engineer|₹ 2,25,000 - 5,00,000 P.A.
374||363|20|PG Diploma in Electrical, Electronics, Mechanical, M.Tech in Any Specialization|14 days ago|B.Tech/B.E. in Any Specialization|2 - 7 years|"Job description
PLC - Step 7, TIA Portal, Microwin Smart.
HMI - Screens development, Alarms, Graphs & Trends, Recipe
Communication - MPI, Profibus, Profinet
Soft Skills - Email writing, English Speaking
Documentation - IO list preparation, SAT Document
RoleTechnical Support Engineer
Industry TypeIndustrial Automation
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryAdmin/Maintenance/Security/Datawarehousing
Education
UG :B.Tech/B.E. in Any Specialization
PG :PG Diploma in Electrical, Electronics, Mechanical, M.Tech in Any Specialization
Key Skills
PLCSiemens PLC"|['PLC', 'Siemens PLC']|Service Engineer|₹ 2,50,000 - 6,50,000 P.A.
375||105|||14 days ago|B.Sc in Any Specialization, BCA in Any Specialization, B.Tech/B.E. in Any Specialization|2 - 5 years|"Job description
1. Set up a cloud solution environment
2. Plan and configure a cloud solution
3. Deploy and implement a cloud solution
4. Ensure successful operation of a cloud solution
5. Automating the build and configuration of IaaS based solutions
RoleSoftware Developer
Industry TypeFilm / Music / Entertainment
Functional AreaIT Software - Client/Server Programming
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Sc in Any Specialization, BCA in Any Specialization, B.Tech/B.E. in Any Specialization
Key Skills
cloudpythonmy sqliaasperl"|['cloud', 'python', 'my sql', 'iaas', 'perl']|Cloud Devops Engineer - Media Industry - Bhopal|Not Disclosed
376||39|4||14 days ago|Any Graduate|3 - 8 years|"Job description
Permanent Opening for Amal Infosystems
Are client is CMMI Level 4 with globally in US,UK & Canada
Skills
AWS SysOps Exp
Windows Server & Linux operating platforms,NOC,SOC
experience with security & monitoring tools like Nagios, Zabbix, AWS services

Required Candidate profile
Exp : 3+Years
Good communication skills
24x7 rotational shift
Male/female (Both preferred)
Work from home/5 Day Working
share cv-priyanka@peshr.com
RoleSystem Administrator
Industry TypeIT Services & Consulting
Functional AreaIT Software - Network Administration, Security
Employment TypeFull Time, Permanent
Role CategoryAdmin/Maintenance/Security/Datawarehousing
Education
UG :Any Graduate
Key Skills
NOCWindows ServerSocNetworkAWS servicesNagiosAWS SysopsSecurityLinux operationZabbix"|['NOC', 'Windows Server', 'Soc', 'Network', 'Nagios', 'Security', 'Zabbix']|Permanent Opening For AWS SysOps Engineer-Mumbai|Not Disclosed
377||146|||14 days ago|Any Graduate|3 - 8 years|"Job description
Linux platform administration CentOS, RedHat and Ubuntu. Deployment and automation of applications using Puppet Enterprise and Hiera. Configuring and supporting middleware and webserver software on Linux platforms, Apache, WildFly, Tomcat, MySQL.

Required Candidate profile
Strong Linux Administration skills Experience and management of infrastructure with Puppet Enterprise, Source control management and Git Repositories Experience LDAP, SSSD and Kerberos
RoleNetwork Administrator
Industry TypeIT Services & Consulting
Functional AreaIT Software - Network Administration, Security
Employment TypeFull Time, Permanent
Role CategoryAdmin/Maintenance/Security/Datawarehousing
Education
UG :Any Graduate
Key Skills
UbuntuWildflyTomcatLinuxMySQLWeb ServerCentosApachePuppetDevops"|['Ubuntu', 'Tomcat', 'Linux', 'MySQL', 'Web Server', 'Centos', 'Apache', 'Puppet', 'Devops']|DevOps Linux Engineer|Not Disclosed
378||26|||14 days ago|B.Tech/B.E. in Any Specialization|2 - 4 years|"Job description
Looking for talented, motivated and self-driven engineers specializing in full stack development using LAMP stack with Angular on AWS to work with a fast-growing US product- based company

Required Candidate profile
Hands-on Full stack Development using PHP, MySQL, Angular and JavaScript • Design and architect modules based on product team specifications.
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
PHPAngular"|['PHP']|Junior PHP/Angular FULL Stack Engineer|₹ 10,00,000 - 15,00,000 P.A.
379||469|1||14 days ago|B.Tech/B.E. in Electronics/Telecommunication|10 - 12 years|"Job description
Responsible for End-End execution of Automation Engineering projects, FAT documents (FDS,HDS,SDS,IQ,OQ), P&ID/ Flow chart, Project commissioning, IIOT knowledge, testing, Support Design & Integration, Lead Panel & Fabrication, release software update

Required Candidate profile
BE(Electronics) with experience in the field of Electronic and Automation. Manage Templates/ Documents( EPLAN, PLC, HMI, SCADA, SERVO. Exp in packaging / pharma industry pref. Able to lead a team
RoleTechnical Lead/Project Lead
Industry TypeIndustrial Equipment / Machinery
Functional AreaEngineering Design, R&D
Employment TypeFull Time, Permanent
Role CategoryEngineering Design
Education
UG :B.Tech/B.E. in Electronics/Telecommunication
Key Skills
AutomationServo SystemsHMIP&IdPLCIiotEplanSCADA"|['Automation', 'Servo Systems', 'HMI', 'PLC', 'Eplan', 'SCADA']|Senior Engineer Automation Software and User Interface|₹ 10,00,000 - 12,00,000 P.A.
380||172|||13 days ago|BCA in Any Specialization, B.Tech/B.E. in Any Specialization|3 - 7 years|"Job description
Executing and automating operational processes
Deploying product updates, identifying production issues and implementing integrations that meet customer need
To perform system troubleshooting and problem resolution across various application domain

Required Candidate profile
Skills Required : AWS , Ngnix, VM, VIOP, DBA, MySQL, Scripting Languages & Monitoring , Github, Jenkins, Linux, Ansible, Chef/Puppet/Docker, CI/CD

NP: 30 Days or Less
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :BCA in Any Specialization, B.Tech/B.E. in Any Specialization
Key Skills
Database AdministrationDBALinuxGithubMySQLScripting LanguagesAnsibleCI/CDAWSDevopsPython"|['Database Administration', 'DBA', 'Linux', 'Github', 'MySQL', 'Scripting Languages', 'Ansible', 'AWS', 'Devops', 'Python']|Devops Engineer|₹ 5,00,000 - 10,00,000 P.A.
381||27||MCA in Any Specialization, M.Tech in Any Specialization|14 days ago|B.Tech/B.E. in Any Specialization|5 - 10 years|"Job description
Min. 4 years of exp with React JS, Node js Redux, and fair understanding of Backend and front Server-side technologies. • Experience in designing & developing reusable front-end frameworks.Looking for immediate ====30 Days candidates
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
PG :MCA in Any Specialization, M.Tech in Any Specialization
Key Skills
ReactjsNode.JsReact.js
node and reactjsreactjs and nodejsnodejsReact js
Skills highlighted with ‘‘ are preferred keyskills"|['Node.Js', 'React.js', 'React js']|Hiring For App Frontend Engineer- Product based Retail Company -Blre|Not Disclosed
382||221|||15 days ago|Any Graduate|8 - 13 years|"Job description
The main function of a Developer is to design, develop, and implement automation frameworks & test automation using JAVA, Selenium REST APIs, & TestNG to support business requirements.
agile SDLC 8 to 10 years experience.
RoleTesting Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
JavaVMwareVCenterC #Rest ApiSDLCCore JavaVSphereTestngC#.NetAgileVCFAutomation TestingASP.NetSelenium"|['Java', 'VMware', 'VCenter', 'SDLC', 'Core Java', 'VSphere', 'Testng', 'C#.Net', 'Agile', 'Automation Testing', 'ASP.Net', 'Selenium']|"Looking For Automation Test Engineer | Bangalore | Immediate"|Not Disclosed
383||445|2||15 days ago|Any Graduate|5 - 10 years|"Job description
Thorough understanding of LAN, WAN and 802.11 based wireless architecture.
Configuration of VPN and DMVPN Solutions using firewalls and routers
Must have strong Routing, Switching and RF knowledge, Cisco Wireless and Networking
Notice period- 30 days
RoleNetwork Administrator
Industry TypeIT Services & Consulting
Functional AreaIT Hardware, Technical Support, Telecom Engineering
Employment TypeFull Time, Permanent
Role CategoryIT Hardware
Education
UG :Any Graduate
Key Skills
Ccnp CertifiedNetwork EngineeringCcieNetworkingVPNRoutingNetwork AdministrationBgpCCNASwitchingFirewallOSPF"|['Ccnp Certified', 'Network Engineering', 'Ccie', 'Networking', 'VPN', 'Routing', 'Network Administration', 'Bgp', 'CCNA', 'Switching', 'Firewall', 'OSPF']|Opening For Network security engineer- Free consulting|₹ 6,00,000 - 13,00,000 P.A.
384|Doctorate Not Required|71||Any Postgraduate|30+ days ago|Any Graduate|3 - 6 years|"Job description
Skills : Bigdata and hadoop clear concepts, Hive, SQL, GCP, Spark, Python, Airflow.Big Data tools and frameworks required to provide requested capabilities.Develop and maintain data pipelines implementing ETL process, monitoring performance and advising any necessary infrastructure changes.Department:Analytics Delivery
Designation:Senior Software Engineer
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - DBA, Datawarehousing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
HiveProcess MonitoringGCPSoftware EngineeringHadoopData MaintenanceSparkETLSQLPython"|['Hive', 'Process Monitoring', 'GCP', 'Software Engineering', 'Hadoop', 'Data Maintenance', 'Spark', 'ETL', 'SQL', 'Python']|Senior Software Engineer- Bigdata|Not Disclosed
385||11|10||30+ days ago|B.Tech/B.E. in Any Specialization|2 - 5 years|"Job description
This is a work from office role

Skills and requirements
You have around 2-6 years of work experience, preferably in product development
You are a problem solver and use programming language or frameworks as tools
You are good with Data Structures and Algorithms
You truly believe that testing your code is your responsibility
You understand what it take to write good quality production ready code
Prior experience building and managing REST APIs for large-scale distributed systems with millions of transactions a day
You are comfortable with a distributed async architecture and are aware of the challenges that come with ensuring reliability at scale.
You have worked with multiple DB technologies - noSQL, RDBMS, Graph, etc.
Performance - You do know that processing millions of transactions has a cost and you know your way around projecting the cost of being functionally complete andperformance bottlenecks.
Contribute to Open Source - You have a Github/Bitbucket profile and have something we can talk about when we chat.
RoleSoftware Developer
Industry TypeFinTech / Payments
Functional AreaIT Software - eCommerce, Internet Technologies
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
Software Engineering"|['Software Engineering']|Software Engineer - Full stack|₹ 30,00,000 - 40,00,000 P.A.
386|Doctorate Not Required|41||Any Postgraduate|29 days ago|BCA in Computers, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization|6 - 11 years|"Job description
- Expert in Verilog, digital design, FPGA design process and synthesis

- Participate in the definition of the design and system architecture for complex FPGA solutions

- Develop VHDL Verilog code for various system blocks

- Participate in size timing optimization of complete FPGA design

- Place & route flows, pinning, timing optimization for Xilinx and or Altera

- Tool: Modelsim, Xilinx Vivado, Altera Quartus.

- Continuously improving test and simulation environment to assure FPGA

- Good hardware debugging capability using industry standard test equipment like Protocol GeneratorILAScopeSignal Analyzerchip scope etc.,

- Experience on one or more serial protocol such as I2C, SPI, UART, 10G-Ethernet, USB 3.0, SATA, PCIe, Display Port etc.,

- Experience with embedded processors such as ARM is a plus

Experience required : 6+ years

Mode of Interview : one F-F interview is manadatory.
RoleHardware Design Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Hardware, Technical Support, Telecom Engineering
Employment TypeFull Time, Permanent
Role CategoryIT Hardware
Education
UG :BCA in Computers, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
VHDLFPGA Designhardware debuggingVerilogdigital designXilinxSATA"|['VHDL', 'FPGA Design', 'Verilog', 'digital design', 'Xilinx', 'SATA']|FPGA Design Engineer - VHDL|Not Disclosed
387||369|20|MCA in Any Specialization|30 days ago|B.Tech/B.E. in Any Specialization|3 - 8 years|"Job description
Must have:
Experience in working on Hadoop Distribution (CDH/HDP/MapR).
Hands-on experience with MapReduce, Hive 2.x*, Spark 2.x*.
Well versed with Enterprise Core Java 8
Experience in Python, Scala
Experience in Pyspark
Conceptual knowledge of Data Structures & Algorithms
Possessing in-depth knowledge of various Design Patterns (Java/BigData), Data Processing
Patterns (Batch/NRT/RT processing) & capable of providing design & architecture of typical
business problems
Knowledge and experience with NoSQL Database
(Cassandra/HBase/MongoDB/CouchDB/Neo4j),SQL Database (MySQL/Oracle).
Kafka, Redis, Distributed Message Queues alongwith Distributed Caching
Proficient understanding of Build tools (Ant/Maven), Code Versioning tools (Git) with
Continuous Integration
Exposure and awareness of complete PDLC/SDLC alongwith experience working in projects
with Agile Scrum methodology
Excellent communication, problem-solving & analytical skills with ability to thrive in a fast
paced, dynamic environment & operate under stringent deadlines
Confident, highly motivated and passionate about delivery and customer satisfaction
Strong technical development experience with writing performant code leveraging best coding
practices
Out of box thinker and not just limited to work done in existing assignment(s)
Good to Have :
Knowledge/experience working on Search Platforms (Solr/ElasticSearch), designing as well as
implementing RESTful APIs
Experience with Cloud environments (AWS/GCP/Azure), exposure to Containers & Container
Management Platforms (Dockers/Kubernetes)
Understanding of Data Lake vs Data Warehousing concept alongwith the ability to perform
comparative analysis of Data Stores and knowledge/experience with creation & maintenance
of the same
Experience with Big Data ML toolkits (SparkML/Mahout)
Knowledge on Data Privacy, Data Governance, Data Compliance & Security
Programming experience with Python/Scala
Experience with building & maintaining optimal data pipelines in a reliable manner so as to
deliver solutions on the fly
Experience working on open source products

What You will Do

Design and implement solutions for problems arising out of large-scale data processing
Provide the team technical direction(s)/approach(es) to be undertaken and guide them in
resolution of queries/issues etc.
Attend/drive various architectural, design and status calls with multiple stakeholders
Ensure end-to-end ownership of all tasks being aligned
Design, build & maintain efficient, reusable & reliable codeRoles and Responsibilities


RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
PG :MCA in Any Specialization
Key Skills
StreamingPysparkCore JavaHadoopMySQLSCALAKafkaMapreduceSparkPython"|['Streaming', 'Core Java', 'Hadoop', 'MySQL', 'SCALA', 'Mapreduce', 'Spark', 'Python']|Big Data Engineer|Not Disclosed
388||92|2||15 days ago|B.Tech/B.E. in Computers|3 - 8 years|"Job description
We are hiring for our client with 3-8 years of experience in Embedded Software Engineer who is passionate and excited to work in a multi-Disciplined and excited to work. Experience in C++ and to take ownership of your firmware products.
RoleDesign Engineer
Industry TypeDefence & Aerospace
Functional AreaEngineering Design, R&D
Employment TypeFull Time, Permanent
Role CategoryEngineering Design
Education
UG :B.Tech/B.E. in Computers
Key Skills
Embedded SoftwareEmbedded CR&DC++12CUARTFirmwareStm32SPI"|['Embedded Software', 'Embedded C', 'R&D', 'C++', 'UART', 'Firmware', 'SPI']|Embedded Software Engineer|Not Disclosed
389||Less than 10|||15 days ago|Any Graduate|5 - 9 years|"Job description
5+ years of experience as a Microsoft DevOps Engineer
3+ years of experience CI/CD Pipeline using Team Foundation Server (On-Prim/Cloud)
Microsoft SQL and No SQL
Experience with Source Control platforms GitHub
Experience on a Scrum or Agile team
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
Microsoft AzureDevopsSQl"|['Microsoft Azure', 'Devops', 'SQl']|Job opening For Devops Engineer with Reputed Company at Madurai.|₹ 50,000 - 3,00,000 P.A.
