|Job Applicants:|Posted:|UG :|experience|job_desc|key_skills|position|salary|Openings:|PG :|Doctorate :
10|14|30+ days ago|Any Graduate|5 - 6 years|"Job description


Job Description
With 5 years total experience, at-least 3 years experience in mobile development test.
Creation of automated test regression suites - both mobile app and backend APIs
RoleTesting Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - QA & Testing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
BackendAutomation testingMobile developmentMobile testingTesting"|['Backend', 'Automation testing', 'Mobile development', 'Mobile testing', 'Testing']|Automation Testing- Mobile Testing|Not Disclosed|1|Post Graduation Not Required|
11|35|30+ days ago|Any Graduate|5 - 6 years|"Job description
01 Automation Tester.
a . With 5 years total experience, at-least 3 years experience in mobile development test.
b. Creation of automated test regression suites - both mobile app and backend APIs
"",
RoleTesting Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - QA & Testing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
AutomationBackendAutomation testingMobile developmentTesting"|['Automation', 'Backend', 'Automation testing', 'Mobile development', 'Testing']|Automation Testing|Not Disclosed|1|Post Graduation Not Required|
12|12|30+ days ago|Any Graduate|6 - 10 years|"Job description
Sr. Mobile Developers (Android/ IOS),
a . With 6 years total experience, at-least 4 years experience in mobile development. B
b. Excellent in Android Native, iOS platform application development.
"",
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Mobile
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Mobile developmentApplication developmentIOSAndroid"|['Mobile development', 'Application development', 'IOS', 'Android']|Android Developer|Not Disclosed|1|Post Graduation Not Required|
13|55|30+ days ago|Any Graduate|2 - 6 years|"Job description
Experience on general mobile landscape, architectures, trends, and emerging technologies Work on DevOps such as Bitbucket, Continuous Integration (Jenkins, Maven) Experience with revision control systems (e.g. GIT) and bug tracking (e.g. Jira) Work with third-party libraries, Frameworks and APIs Experience with some android patterns such as MVP, MVVM, Dagger Experience in most popular libraries Support library, Google Play Services, Retrofit, volley, EventBus, Glide, OkHttp, Dagger pattern Worked experience with remote data via REST and SOAP Document and maintain design specifications, source code Published and updated the applications on the Google play stor
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Mavencontinuous integrationGITMVVMdevopsjenkinsJIRASOAPAndroid"|['Maven', 'continuous integration', 'GIT', 'MVVM', 'devops', 'jenkins', 'JIRA', 'SOAP', 'Android']|Android Developer|Not Disclosed|1|Post Graduation Not Required|
14|61|30+ days ago|Any Graduate|4 - 9 years|"Job description
Responsibilities
Responsible for supporting day to day support team and sales team on issues and maintenance
Responsible for Solution development (Configuration & Coding)
Responsible for resolving all Tier 1-4 support queries, that relates to salesforce access to supporting all business process in Salesforce
Responsible for enhancement on service cloud and customer communities
Responsible for supporting month end and quarter end close process
Coordinate with onshore application team for critical issues, design analysis, and enhancement
Provide system administration support of internal and customer-facing Salesforce environment related to customized applications, user permissions, security settings, custom objects, workflow, etc
Monitor new Salesforce release features and functionality and provide recommendations for process improvements
Customize reporting and dashboards for various teams
Support users & Business Analysts to troubleshoot application issues and develop creative solutions to support business needs
Responsible for building enhancements of salesforce application and maintaining them
Client interaction
Requirements
4+ years of hands-on experience in developing and deploying SFDC Service Cloud solutions
3+ years in a Salesforce development role; including Apex and Visualforce development
In Depth understanding of cases and other areas such as Service Contracts, case management, entitlements, Milestones, Communities, Live Agent, and Knowledge base.
Full understanding of use cases related to functionality for multiple interaction channels (communities, mobile, phone, email, web, chat, SOS/video channel, and social media.)
Designed and developed solutions using Service Cloud automation (Flow, process builder, quick actions, macros, quick text).
Experience working with Salesforce communities, Apex, SOQL, VisualForce, Lightning, JavaScript, Eclipse IDE, WorkBench, Data Loader, Ant tool, Reports and Dashboards
Proficient in Salesforce administrative tasks like creating Profiles, Roles, Users, Page Layouts, Email alerts, Approvals, Workflows, Reports, Dashboards, Tasks, and Events
Experience with Service Cloud, Knowledge, Live Agent, Customer Community, Chatter and understanding web services API
Experience in designing Custom Formula Fields, Field Dependencies, Validation Rules, Work Flows, and Approval Processes for automated alerts, field updates, and Email generation according to application requirements.
Meticulous attention to detail, superb organization skills, and a strong sense of ownership
Must be able to communicate well both verbally and in writing (including documentation)
Must be able to juggle multiple tasks, assignments being aware of the workload and able to set own priorities to meet deadlines
Evaluate JIRA tickets/ Epics/User-stories to convert functional requirements to technical requirements.
BE (IT/Comp Sci / EC) , MCA
RoleSoftware Developer
Industry TypeBPO / Call Centre
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :MCA in Computers
Key Skills
AutomationCodingEclipseSocial mediaJavascriptWorkflowJIRAMacrosSystem administrationSalesforce"|['Automation', 'Coding', 'Eclipse', 'Social media', 'Javascript', 'Workflow', 'JIRA', 'Macros', 'System administration', 'Salesforce']|Salesforce Service Cloud Developer|Not Disclosed|1|MCA in Computers|
15|962|30+ days ago|Any Graduate|2 - 5 years|"Job description
Document Process flow SOW and Functional Specifications with used cases
Thorough understanding on Requirement Analysis, Product Mapping with Business Requirements, documentation, CRM system setup, configuration and Data Migration
Understanding of overall SFDC architecture & landscape, Good understanding of Validation Rules, Tasks, Workflow rules, and Triggers. Excellent communication skills experience on Lead management, Account Management, Salesforce lightning.
Deep knowledge of Sales Cloud, Service Cloud, Marketing Cloud, Commerce Cloud, Communities, Chatter, Salesforce and other Salesforce ecosystem.
Lead delivery teams to execute all project implementation phases including project planning, requirements gathering, solution design, development, system, and user testing, deployment, training, and post-go-live support. Manage customer relationships and day-to-day interactions escalations.
Strong verbal and written communications skills with a focus on needs analysis, positioning, business justification, and closing techniques Superior presentation and demonstration skills.
Prepare estimations effort and cost estimations to augment sales proposals Support at external and internal customer facing events as a technical representative to support business calls Build custom demonstrations and deliver Proof Of Concepts (POC)
Manages hand-over to the Services Functions (Post-Sales Support and Professional Services) for live project implementation.
Having Sales Cloud/Service Cloud Consultant certification is an added advantage
RoleBusiness Analyst
Industry TypeBPO / Call Centre
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategorySystem Design/Implementation/ERP/CRM
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Data migrationProject implementationSalesCloudWorkflowAccount managementProject planningSOWCRMSalesforce"|['Data migration', 'Project implementation', 'Sales', 'Cloud', 'Workflow', 'Account management', 'Project planning', 'SOW', 'CRM', 'Salesforce']|Salesforce Business Analyst|Not Disclosed|1|Post Graduation Not Required|
16|59|30+ days ago|Any Graduate|5 - 10 years|"Job description
Roles and Responsibility
Consistently demonstrate L Brands enterprise and functional competencies.Responsible understanding integrations into the Manhattan Order Management System.Executes Level 1 support and troubleshooting if an integration problem is discovered.Able to analyze issues and triage to the appropriate development team when necessary.
Capable of leading all troubleshooting activities to completion.Co-ordinate support and project delivery efforts within peer group
Understand data mapping into and out of the Manhattan Order Management System in order to support Functional Business requirements for the project and future business requirements.Understands and can execute configuration changes within the Manhattan Order Management systemExecutes Level 1 support and troubleshootingCapable of making the necessary configuration changes to resolve issues.Capable of leading through completion of any level 2 or above if vendor needs to be involved.
Understands and can execute workflow changes within the Manhattan Order Management systemAbility to query and analyze the data within the Manhattan Order Management system for troubleshooting purposes, or business questions around the functionality of the system.
QUALIFICATIONS:5+ years experience in full-time, hands-on, full-stack, production order management roles.Hand on experience with data analysis, building interfaces, ETL process, and/or reporting processes.
Experience in SCI reporting a plus.
Understanding of agile methodologies such as Scrum or Kanban.Proven ability to effectively support projects cross-functionally and meet deadlines in a fast paced environment.Ability to thrive in a fast paced, multi-task environment.
Integration experience with commerce websites in a retail environment preferred.Working knowledge of MS word, Power point and Excel.Strong interpersonal skills necessary to interact with IT team, Off Shore team members, management and user community.Excellent oral and written communication skills - with proven ability to present technical issues to customers in a clear and understandable manner.Strong organizational skills, detail oriented.Proven ability and desire to inspire and mentor team members
RoleSystem Analyst
Industry TypeManagement Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Data analysisInterpersonal skillsAgile scrumApplication programmingWorkflowdata mappingTroubleshootingProject deliveryRecruitmentOrder management system"|['Data analysis', 'Interpersonal skills', 'Application programming', 'Workflow', 'data mapping', 'Troubleshooting', 'Project delivery', 'Recruitment', 'Order management system']|Senior Applications Analyst|Not Disclosed|1|Post Graduation Not Required|
17|24|30+ days ago|Any Graduate|2 - 5 years|"Job description
Job Profile : PHP web application with,
OOPS and Any PHP Framework knowledge is must,
Knowledge of CMS Add-Ons, Plugins coding is a must.
API programming
Proficiency in PHP5.6+, jQuery, Ajax, Smarty, JavaScript, MySQL is part of the Job requirement.
Should Execute assigned tasks independently in a timely efficient manner.
PHP Programmer Thanks for showing your interest. Please fill your contact details below.
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
SmartyjQueryCodingWeb applicationMySQLJavascriptCMSPHPAjax"|['Smarty', 'jQuery', 'Coding', 'Web application', 'MySQL', 'Javascript', 'CMS', 'PHP', 'Ajax']|PHP Programmer|Not Disclosed|1|Post Graduation Not Required|
18|39|30+ days ago|Diploma in Mechanical|1 - 2 years|"Job description
JOB DETAILS
1.Examining customers' appliances and identifying the cause of appliance breakdowns.
2.Performing maintenance work on customers' appliances.
3.Providing rough estimates to customers on how much it would cost to repair damaged or malfunctioning appliances.
4.Repairing or replacing defective or damaged appliance components upon approval from customers.
5.Advising customers on how to use appliances correctly.
6.Installing various large appliances for customers, such as washers, wall ovens, and stoves.
7.Maintaining an accurate record of all items/parts used to repair, replace, or maintain appliances.
8.Billing customers and collecting payments.
RoleDesign Engineer
Industry TypeRecruitment / Staffing
Functional AreaEngineering Design, R&D
Employment TypeFull Time, Permanent
Role CategoryEngineering Design
Education
UG :Diploma in Mechanical
PG :Post Graduation Not Required
Key Skills
Home appliancesBillingCustomer serviceCostRecruitment"|['Home appliances', 'Billing', 'Customer service', 'Cost', 'Recruitment']|Repair Technician|Not Disclosed|1|Post Graduation Not Required|
19|Less than 10|30+ days ago|Any Graduate|2 - 5 years|"Job description
Strong knowledge of Nodejs, OOPs JS and web frameworks {such as, React js, Angular js, Sails, Hapi Express, Laravel and other JS & php framework}
Understanding of the fully synchronous and asynchronous behavior of Javascript (promise, await, prototype)
Strong Understanding of Flux design patterns
Understanding of UIUX technologies, HTML5, and CSS3
Knowledge of object oriented javascript
Understanding of accessibility and security compliance
Strong knowledge of the common Node or web exploits and their solutions
Understanding of fundamental design principles behind a scalable application
Integration of multiple data sources and databases into one system
Proficient understanding of code versioning tools, such as Git
Understanding of Gatway api (PayPal, stripe, ccavenue etc.)
Good Understanding Of DOM and Browser event behaviour
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - eCommerce, Internet Technologies
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Application integrationsecurity complianceDOMPrototypeGITPDFhtml5JavascriptPHPCSS3"|['Application integration', 'security compliance', 'DOM', 'Prototype', 'GIT', 'PDF', 'html5', 'Javascript', 'PHP', 'CSS3']|MEAN / MERN Developer|Not Disclosed|1|Post Graduation Not Required|
20|245|30+ days ago|Any Graduate|2 - 6 years|"Job description
Exposure to software development or global macro development process
Exposure in developing user specifications, developing global macros, unit testing
Experience in handling development and maintenance projects
Change Management and Version control process
Clinical guidelines understanding like ICH-GCP, SDTM IGs etc.
Client management, communication, project management and other soft skills
Good team player
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Change managementVersion controlSASGCPProject managementUnit testingMacrosClient managementICH"|['Change management', 'Version control', 'SAS', 'GCP', 'Project management', 'Unit testing', 'Macros', 'Client management', 'ICH']|SAS Programmer|Not Disclosed|1|Post Graduation Not Required|
21|24|21 days ago|B.Tech/B.E. in Electronics/Telecommunication, Computers, Diploma in Computers, BCA in Computers|3 - 8 years|"Job description
JOB REQUIREMENT :

Associate/Sr Associate Developers :

Proven experience in the PHP, OOPs.
Good knowledge of SQL.
Hands on experience in HTML, CSS, JavaScript, XAML, APIs, Webservices
Hands on experience in frameworks like CodeIgniter, Laravel, etc
CMS: Magento , Joomla, WordPress , Drupal
Organized and work independent.
Good exposure in Client Handling.
Incident Management.
Requirement Engineering
Proficiency in English


RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Electronics/Telecommunication, Computers, Diploma in Computers, BCA in Computers
Key Skills
CIWordpressLaravel
Core PHP
Skills highlighted with ‘‘ are preferred keyskills"|['CI', 'Wordpress', 'Laravel', 'Core PHP']|"Full Stack Php Developers | 3+ years experience | Mohali"|Not Disclosed|3||
22|74|18 days ago|B.Tech/B.E. in Any Specialization, BCA in Computers, B.Sc in Any Specialization|8 - 12 years|"Job description
Job Description :

- Develop best practices for the team and also be responsible for the architecture

- Solutions and documentation operations in order to meet the engineering departments quality and standards

- Participate in production outage and handle complex issues and works towards Resolution

- Develop custom tools and integration with existing tools to increase engineering Productivity

Required Experience and Expertise :

- Having a good knowledge of Terraform + someone who has worked on large TF code bases.

- Deep understanding of Terraform with best practices & writing TF modules.

- Hands-on experience of GCP and AWS and knowledge on AWS Services like VPC and VPC related services like (route tables, vpc endpoints, privatelinks) EKS, S3, IAM. Cost aware mindset towards Cloud services.

- Deep understanding of Kernel, Networking and OS fundamentals

Location : Bangalore, Chennai, Hyderabad, Pune

Notice period : 30 Days max
RoleTechnical Architect
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization, BCA in Computers, B.Sc in Any Specialization
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
DevOpsTerraformiAMArchitectureGoogle Cloud PlatformSolutions OperationsDocumentation OperationsAWS"|['DevOps', 'iAM', 'Architecture', 'AWS']|DevOps Engineer|Not Disclosed||Any Postgraduate|Doctorate Not Required
23|11|18 days ago|B.Tech/B.E. in Electronics/Telecommunication, Electrical|3 - 6 years|"Job description
We Urgently Looking for Physical Design Engineer for one Reputed Chipset/ Semiconductor Company Loacted at Bangalore Location
Experience: 3+ years
Job Description:
1. Independent planning and execution of Netlist-to-GDSII.

2. Full exposure to all aspects of design flows like floor planning, placement, CTS, routing, crosstalk avoidance, physical verification.
3. Should have good exposure to high frequency design convergence and exposure to physical design methodology.
4. 1+ years of experience in IC design Experience in leading block level or chip level Timing closure & Physical Design activities. 5. Work independently in the areas of RTL to GDSII implementation.
6. Ability to collaborate and resolve issues wrt constraints validation, verification, STA, Physical design, etc.
7. Knowledge of low power flow (power gating, multi-VT flow, power supply management etc.).

8. Circuit level comprehension of time critical paths in the design. Tcl/Perl scripting.

9. Willing to handle technical deliveries with a small team of engineers.

10. Well versed with the level timing closure (STA), timing closure methodologies, ECO generation and predictable convergence.

11. Well versed with parasitic extraction, LVS/DRC and other Physical verification checks.
12. Should be able to provide clear directions to the team wrt PNR issues.
13. Drive methodology with help of local and external CAD/EDA teams for faster design convergence.
14. Well aware of place and route methodologies and hands on experience with timing convergence.
15. Qualification: Strong problem-solving skills and teamwork, Self-motivated, excellent verbal and written communication. Understanding of deep sub-micron design problems and solutions (leakage power, signal integrity, DFM etc.)

Note :- Noice period will be maximally consider for 45 days.
Please apply with Updated cv
Contact no.- 9354559209
RoleHardware Design Engineer
Industry TypeElectronic Components / Semiconductors
Functional AreaIT Hardware, Technical Support, Telecom Engineering
Employment TypeFull Time, Permanent
Role CategoryIT Hardware
Education
UG :B.Tech/B.E. in Electronics/Telecommunication, Electrical
PG :MS/M.Sc(Science) in Electrical Engineering, Electronics, M.Tech in Electronics/Telecommunication, Electrical
Doctorate :Doctorate Not Required
Key Skills
Validation IC DesignCTSDRC LVSfrequency designRTLphysical Design verificationNetlist Block levelphysical verification"|['Validation', 'CTS', 'DRC', 'RTL', 'physical Design', 'physical verification']|Physical Design Engineer (chipset/Semiconductor)|Not Disclosed||MS/M.Sc(Science) in Electrical Engineering, Electronics, M.Tech in Electronics/Telecommunication, Electrical|Doctorate Not Required
