|position|salary|experience|job_desc|Posted:|Openings:|Job Applicants:|key_skills|UG :|PG :|Doctorate :
251|Application Support Engineer|Not Disclosed|0 - 2 years|"Job description
Position description: As an application Support Engineer, you will beresponsible for using technology to improve business performance and strategy.This duty involves using one s complex problem-solving skills to brainstormsoftware solutions, and then work together in a small group to solve thetechnical issues.
Primary Responsibilities:
Hands on Coding and debugging skill in one of programming language - Java/ Javascript (Angular framework) / c / Php / Python
Excellent Logical and Analytical skills
Excellent written and verbal communication skills.
Experience with one of the tool - IBM Tivoli/ BMS Remedy/ Netcool/ Maximo
ServiceNow/ iSupport
Open for working in Shifts
Handled Client Support for one or more
  RoleNetwork (Support) Engineer
Industry TypeInternet
Functional AreaEngineering - Hardware & Networks
Employment TypeFull Time, Permanent
Role CategoryIT Network
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Application supportMaximoCodingNetcoolDebuggingJavascriptPHPTivoliRemedyPython"|30+ days ago|1|234|['Application support', 'Maximo', 'Coding', 'Netcool', 'Debugging', 'Javascript', 'PHP', 'Tivoli', 'Remedy', 'Python']|Any Graduate|Post Graduation Not Required|
252|Engineer - Sr Engineer|Not Disclosed|0 - 5 years|"Job description
Work on design and development of 5G protocol stack. Work on layer 1, layer 2 and layer 3 of 5G NR protocol stack.
Job responsibilities include system level feature coding, developing and executing unit test.
Work with internal test team and external customers to resolve issues.
Minimum Qualifications
Education:
Bachelors - Computer Science, Bachelors - Engineering, Bachelors - Information Systems
Work Experiences:
2 years experience with Programming Language such as C, C , Java, Python, etc.
2 years of Software Engineering or related work experience
Certifications:
Skills:
Preferred Qualifications
Education:
Work Experiences:
4 years Software Engineering or related work experience. ,1 years of work experience in a role requiring interaction with senior leadership (e.g., Director level and above). ,2 years experience working in a large matrixed organization. ,2 years experience with API. ,2 years experience with Database Management Software.
RoleDesign Engineer
Industry TypeElectronic Components / Semiconductors
Functional AreaResearch & Development
Employment TypeFull Time, Permanent
Role CategoryEngineering & Manufacturing
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Computer scienceStaffingDatabase managementProtocol stackProgrammingDirectorUnit testingRecruitmentTestingPython"|30+ days ago|1|412|['Computer science', 'Staffing', 'Database management', 'Protocol stack', 'Programming', 'Unit testing', 'Recruitment', 'Testing', 'Python']|Any Graduate|Any Postgraduate|
253|Data Analyst Intern|Not Disclosed|0 - 2 years|"Job description
3 best things about the job:
Responsible for data analytics projects and developing data strategies by diving into data and extrapolating insights and providing guidance to clients
Be a part of a dynamic and growing team
Being part of a global organisation with rapid growth opportunities
Measures of success

In three months:
Complete 1 hands-on project with supervisor guidance and present to the team
Working with all constituents of performance eco-system under one single roof
Exposure with the some of largest clients across categories.
In six months:
Get deep into the project and start working on modules adding value independently
Timely and accurate data validation and reporting
Become proficient with data management/visualization platforms and media analytics concepts
Identify areas where you can add value and start a conversation around future growth
In 12 months:
Be the lead on the module you are working on
Start interactions with internal client and own the scope and deliveries of the project
Responsibilities of the role:

Manage the extraction of data sets from multiple marketing/database platforms
Manage the extraction, loading, and transformation of multiple data sets and work on different technologies like AWS, Datorama/Tableau/Power BI, Python, SQL etc.
Execute all business rules according to requirements
Manage and execute thorough QA process and ensure the quality and accuracy of all data and reporting deliverables
Generate and manage all data visualizations and ensure data is presented accurately and is visually pleasing
Closely work with quality assurance, products, and technical departments to resolve client s data issues timely and effectively
Cooperation with upstream and downstream teams
What you will need:

Candidates must be in their final year of Bachelor or Master Course in Computer Science or Engineering or Statistics related field
Hands-on experience working with any data visualization tools such as Datorama, Tableau or PowerBI
Knowledge of RDBMS, NoSQL and Data Analytics concepts
Hands on experience in languages like Python etc
Excellent communication skills both verbal and written
Embraces working in a fast-paced, ever-changing environment
RoleData Analyst
Industry TypeRecruitment / Staffing
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryBusiness Intelligence & Analytics
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Computer scienceData validationManager Quality AssuranceData managementRDBMSSocial mediaAgileInvestment managementSQLPython"|9 days ago|1|593|['Computer science', 'Data validation', 'Data management', 'RDBMS', 'Social media', 'Agile', 'Investment management', 'SQL', 'Python']|Any Graduate|Any Postgraduate|
254|Junior Data Developer|Not Disclosed|0 - 3 years|"Job description
You will work closely with internal clients of the data team to support and maintain Excel , R and database -based processes for gathering data, calculating prices and producing the reports and data feeds. The work also involves writing robust automated processes in R.
Key R esponsibilities
Support and development of data processing systems using Excel and SQL
Client support with queries relating to
integration of Argus data and metadata into client systems
data validation
provision of data
Data and systems support to Argus staff
Maintenance and development of existing systems
metadata modification
data cleansing
data checking
Required Skills and Experience
Significant recent experience of developing tools using VBA in MS Excel and R in a commercial (work) environment.
Good knowledge and experience of SQL, preferably in Oracle
Ability to work both as part of a team and autonomously
Excellent communication skills
Desired Skills and Experience
BS degree in Computer Science, Mathematics, Business, Engineering or related field.
Experience in visualisation techniques is desirable.
Any experience working with energy markets and commodities data is highly desirable
Experience developing production-grade scalable applications in R.
Personal Attributes
Ability to interact with non-technical people in plain language
Innovative thinker with good problem-solving abilities and attention to detail
Numerically proficient
Self-motivated with ability to work independently, prioritising tasks to meet deadlines
Customer service focused
RoleBack End Developer
Industry TypeInternet
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Data ScienceData ValidationCommunication SkillsRVbaEnergyComputer ScienceCareer DevelopmentArgusSql"|30+ days ago|1|323|['Data Science', 'Data Validation', 'Communication Skills', 'R', 'Vba', 'Energy', 'Computer Science', 'Career Development', 'Argus', 'Sql']|Any Graduate|Any Postgraduate|
255|Internship Coursework Program - Datascience & Machine Learning|Not Disclosed|0 - 1 years|"Job description
The 1-months online internship program is offered by leading scientists of Gilbert Research Center. Gilbert Research Center is one of the most reputed and notable research centres in India. 
What you'll learn from this Online-Internship 
Basics of Mathematics - Linear Algebra, Probability, Differential Equation
Fundamentals of Python Programming Language
Fundamentals of Statistics & Industry-related projects.
Industry-related Machine Learning Projects and Machine Learning Algorithms - Linear & Multiple Regression, PCA
Fundamental of Neural networks & Deep Learning.
Industry relevant projects, fundamental programming assignments, and attending mentorship classes of our Scientists.
Interview Questions & Discussions 
You'll get basic and complete Industry-related knowledge for your placements, recruitment drive, career shift, and other job opportunities. Invest short-time to get high-quality knowledge. You'll get core knowledge of machine learning & data science from a leading scientist. This program definitely boosts your professional career and promotion. 

Every candidate will get a Verified Certificate & Letter of Recommendation from a Scientist at Gilbert Research Center.  Stipends will be provided to all students based on their performance. Our internship provides a bridge to grab a job opportunity in a software or fin-tech company based on data science and machine learning.


Job Role Assigned with Mentorship with Scientist:

One of the most reputed research centres in India, Gilbert Research Center invites high-level top leading Internship positions in organizations. 
It's an Online-Internship Programme. The working location is completely Online. You don't need to switch your locations. It's an Internship Programme working 1-Months Programme, 3 hours per day.
Our high-level Internship Programme will be mentored and guided by the leading Scientists of Gilbert Research Center. 
An interview will be held for this internship position. Only shortlisted candidates from the interview have to pay Mentorship & Guidance Fee.
Your role would be to lead a high-level Internship Programme by allocating Industry relevant projects, fundamental programming assignments, and attending mentorship classes of our Scientists.
Youll have experience collaborating with our leading Scientists to make your career as Industry-Academic. You'll get top experience in Industry Readiness & Trending topics.
 Selection is based on a pure merit basis. The interview will be conducted for Shortlisting applicants.
RoleData Scientist
Industry TypeAnalytics / KPO / Research
Functional AreaData Science & Analytics
Employment TypePart Time, Freelance/Homebased
Role CategoryData Science & Machine Learning
Education
UG :Any Graduate
PG :Any Postgraduate
Doctorate :Any Doctorate
Key Skills
PandasProgrammingNumpyPython
deep learningC++data scienceComputer ScienceC Programming Languagemachine learningData Structures And Algorithms
Skills highlighted with ‘‘ are preferred keyskills"|5 days ago|10|3004|['Pandas', 'Programming', 'Python', 'deep learning', 'C++', 'data science', 'Computer Science', 'machine learning']|Any Graduate|Any Postgraduate|Any Doctorate
256|Software Application Developer|Not Disclosed|0 - 3 years|"Job description

Job Perks
We give opportunity to work in cross job profiles to help you expand your skill set. You would be closely working with a bunch of very smart individuals with the Tech team being led by a Computer Science grad from IIT Delhi PPO opportunity
Candidate Profile
Strong Willingness to work hard! Solid in programming.
Job Location: Jaipur
Qualification: B.tech/ B.E/ M.tech
Technology: PHP, Ionic, Postgres, Android. Any other technology as required by Business use case.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
Computer scienceInternManager TechnologyProgrammingPHPAndroid"|30+ days ago|1|279|['Computer science', 'Programming', 'PHP', 'Android']|B.Tech/B.E. in Computers|Post Graduation Not Required|
257|Software Application Developer (OST)|Not Disclosed|0 - 2 years|"Job description
Software Application Developer (OST)

Skill: Good research, analytical, and Communication skill

Software Skill: Proficient in PHP, MySQL and HTML with basic knowledge of Dreamweaver.

Knowledge of Joomla, e-Commerce, WordPress will be added advantage.

Exp: 0 - 2 years

Qualification: BE/ B.Tech in Computer Science / Information Technology or M.C.A.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Any Specialization
PG :Post Graduation Not Required
Key Skills
softwareE-commerceHTMLResearchInformation technologyJoomlaComputer scienceapplicationAnalyticalMySQLWordpressPHPdeveloper"|30+ days ago|1|979|['software', 'E-commerce', 'HTML', 'Research', 'Information technology', 'Joomla', 'Computer science', 'application', 'Analytical', 'MySQL', 'Wordpress', 'PHP', 'developer']|B.Tech/B.E. in Any Specialization|Post Graduation Not Required|
258|Wordpress Developer - Software Engineer/Senior Software Engineer|Not Disclosed|0 - 4 years|"Job description
Wordpress Developer - Software Engineer/Senior Software Engineer : Software Engineer/ Senior Software Engineer

: B.E./MCA/M.Sc/B.Sc, B.C.A etc

: 2.0 to 4.0 years.

Role Responsibilities: Developing Wordpress based software solutions to meet customer needs. Developing complete website which includes developing UI, PHP functionalities and writing SQL queries. Research and learning latest technologies. Client interactions via chat , emails and calls. Skills/Qualifications: Excellent Twitter Bootstrap, HTML5, CSS3 skills. Excellent in Wordpress. Excellent PHP, HTML, CSS, MySQL skills. Excellent in Javascript. Excellent in Jquery. Excellent in AJAX. Know how to develop using PHP Classes to an excellent level. Experience in coding for e-Commerce web applications/shopping carts. Excellent in core PHP with Oops concepts, Url rewriting Integration of at least one Payment gateway. Excellent communication skills. Good team player. Good to have: Knowledge of Photoshop. Knowledge of any CMS (Joomla, Wordpress, Drupal, CodeIgnitor). Javascript frame works (like prototype), Ajax, JSON Previous work with a defined SDLC (Software Development Life Cycle)
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
softwaredevelopingHTMLresearchsqlcodingwebMySQLoopsJavascriptjsone-commerceAjaxdevelopmentwebsiteCMSJoomlaDrupaljQueryWordpressphpdeveloperPhotoshopsdlccss3"|30+ days ago|1|896|['software', 'developing', 'HTML', 'research', 'sql', 'coding', 'web', 'MySQL', 'oops', 'Javascript', 'json', 'e-commerce', 'Ajax', 'development', 'website', 'CMS', 'Joomla', 'Drupal', 'jQuery', 'Wordpress', 'php', 'developer', 'Photoshop', 'sdlc', 'css3']|B.Tech/B.E. in Computers|M.Tech in Computers|
259|Sr.Software Developer|Not Disclosed|0 - 4 years|"Job description
Manage the support of one or more PowerBuilder applications in the Retail industry
Develop, deploy and convert solution of various technologies as requested.
Provide technical support and perform trouble-shooting to resolve problems in a timely manner.
Define and translate end user requirements into application solutions.
Develop application software components to sustain current requirements.
Interact with customer to assist and address potential/current production issues.
Provide excellent services and deliver high-quality products in timely manner.
key Qualifications:
Minimum of 5 years of experience with Power builder.
Must have PFC and PB 8.5 above.
Must have 2-4 years of experience with Microsoft SQL Server 2000 and above.
Must have very good knowledge of Trigger, Store Procedure and Performance Tuning.
Full Life Cycle development experience.
Strong object-oriented programming and design skills.
Need excellent communication skills both written and verbal
Must have strong analytical and problem solving skills.
Ability to interact with internal customers to provide and resolve issues
o Experienced with .Net is a big plus
o Experienced with Java is a big plus
Must be a self driven team player and enjoy working closely with others and ability to work independently.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
development testingDesign developmentHR"|30+ days ago|1|212|['development testing', 'Design development', 'HR']|Any Graduate|Any Postgraduate|
260|"Freshers Software Developer mobile apps | Direct Walkin | Female only"|Not Disclosed|0 years|"Job description
We Provide an opportunity for upcoming graduates as training cum placement in Android mobile application Developer, JAVA, Core JAVA, C, C++, and Kotlin. Mandatory to bring the original academic documents,10th,+2, Degree mark sheet.

Required Candidate profile
We are hiring Freshers for Android mobile application Developer B.E / B.Tech - Computer Science (2021 and 2022 passed out). Must be willing to self-learn & self-start & able to troubleshoot & fix bugs

Perks and benefits
Best salary In Industry
RoleMobile / App Developer
Industry TypeSoftware Product
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
Core JavaFemaleJavaKotlinFresher
CDeveloperJ2EeEclipse IDEHTMLSpring BootSoftware DevelopmentSwingJavascriptB.EAndroid StudioApplication ProgrammingC++CSSAdvanced JavaECE2022B.TechAndroidAndroid Application DevelopmentXMLAndroid SDKServlets
Skills highlighted with ‘‘ are preferred keyskills"|10 days ago|26|818|['Core Java', 'Java', 'Fresher', 'C', 'Developer', 'J2Ee', 'Eclipse IDE', 'HTML', 'Spring Boot', 'Software Development', 'Swing', 'Javascript', 'B.E', 'Android Studio', 'Application Programming', 'C++', 'CSS', 'Advanced Java', 'ECE', 'B.Tech', 'Android', 'Android Application Development', 'XML', 'Android SDK', 'Servlets']|B.Tech/B.E. in Any Specialization||
261|Application Developer|Not Disclosed|0 - 3 years|"Job description
Job Responsibilities:
Completely responsible for the development of the desktop mobile application. You will develop new products and build on top of existing products using the Low-code platform Zudy Vinyl
Creating development documentation system for new and existing products
Create a robust no code back end and optimize workflows to provide the smoothest customer experience
Understand product feedback and make improvements in the software as per the said feedback
Constantly refine UI/UX for a smoother customer experience
Assist in any other domain as may come up
Provide technical development expertise in SQL, User Interface (UI) development and
Exposure to DevOps and CI/CD pipelines, processes.
Provide technical assistance and cross training to other team members as needed.
Must be able to perform duties with moderate to low supervision
Research information on new, emerging technologies and methods in Cloud technologies, API mgmt., UI/UX design and provide architecture and design inputs for incorporating them into the existing platform.
Performance Measures
Troubleshooting mechanisms
Ability to communicate liaise with multiple stakeholders and customers.
Open to learn new technologies in Application/Software/MobileApp Development: Like Zudy Vinyl, .NET, Power BI, PhoneGap, Xamarin etc.
Ability to understand and deliver on Data Applications - including UI design, architecture, and cloud concepts.
Good at analytics and ability of solving complex data scenarios.
Competencies Required
3+ years of core experience in SQL development performance tuning
Strong understanding of data structures and database systems
Basic UI/UX skills
Exposure (experience preferred) in UI design principles and design patterns
Strong JavaScript skills and knowledge of object-oriented programming
Learn coding standards and implement in development. Develop code with minimal guidance. Implement review comments and try to minimize the number of review comments given by lead after code review.
Good understanding of Cloud concept and integration between on-prem and cloud application
Strong problem-solving skills are required and able to work closely with our operations group to ensure availability of those systems
Able to work in a team environment, with mentors and testers available to help troubleshoot issues
RoleBack End Developer
Industry TypeFinancial Services
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
UI developmentPerformance tuningUser interface designingCodingJavascriptData structuresApplication developmentCustomer experienceTroubleshootingAnalytics"|30+ days ago|1|124|['UI development', 'Performance tuning', 'User interface designing', 'Coding', 'Javascript', 'Data structures', 'Application development', 'Customer experience', 'Troubleshooting', 'Analytics']|Any Graduate|Any Postgraduate|
262|Android Application Developer|Not Disclosed|0 - 1 years|"Job description
Roles and Responsibilities
Understand client requirements and how they translate in application features.
Collaborate with a team of IT professionals to set specifications for new applications.
Design creative prototypes according to specifications.
Perform unit and integration testing before launch.
Conduct functional and non-functional testing.
Troubleshoot and debug applications.
Evaluate existing applications to reprogram, update and add new features.
Develop technical documents and handbooks to accurately represent application design and code.

Desired Candidate Profile
minimum 6 month Proven experience as application developer.
Experience in designing and building applications
Ability to program in at least one programming language such as C++ Java (J2EE) etc.
In-depth knowledge of programming for diverse operating systems and platforms using development tools.
Excellent understanding of software design and programming principles.
A team player with excellent communication skills.
Analytical thinking and problem-solving capability.
Great attention to detail and time-management skills.
BSc/BA in computer science or relevant field; MSc/MA will be appreciated.
Certified application developer is a plus.

Perks and Benefits


RoleMobile / App Developer
Industry TypeElectronics Manufacturing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
Application DevelopmentAndroid ApplicationC++
Android Developmenttrainee
Skills highlighted with ‘‘ are preferred keyskills"|9 days ago||44|['Application Development', 'Android Application', 'C++', 'Android Development', 'trainee']|B.Tech/B.E. in Any Specialization||
263|Jr Software Engineer (c#/.net)|₹ 1,75,000 - 2,50,000 P.A.|0 - 1 years|"Job description
- C#/.NET programming for an innovative desktop app.
- Get an opportunity to contribute innovative ideas to a product that is used by many satisfied customers world-wide.
- 5 days working
- Great opportunity for freshers
- Bulk requirement

Required Candidate profile
- Very good logical and analytical skills
- Strong programming/coding
- Theoretical knowledge about IT/software but lack of practical skills
- Freshers with excellent C coding skills can apply

Perks and benefits
Salary not a constraint for the right candidate
RoleSoftware Development - Other
Industry TypeSoftware Product
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
C#.NET
Javaobject orientedC ProgrammingAndroidProduct Developmentscriptingoopopen sourceWeb ProgrammingC Sharpasp.netoopsJavascriptIT - SoftwarePython
Skills highlighted with ‘‘ are preferred keyskills"|1 day ago|10|8592|['C#', '.NET', 'Java', 'C Programming', 'Android', 'Product Development', 'scripting', 'oop', 'open source', 'Web Programming', 'C Sharp', 'asp.net', 'oops', 'Javascript', 'IT - Software', 'Python']|Any Graduate|Any Postgraduate|
264|Digital - Datalakes - Software Engineer|Not Disclosed|0 - 3 years|"Job description
JOB RESPONSIBILITIES
Data Mining engineer, knowledge on basic statistics and a good and enthusiastic learner
FactSet Data Science team is currently seeking Data scientist or Data Mining Engineer s to join our Data Lake team.
As part of this team, one would work on individual projects where he/she will be responsible for its end to end development, presenting results and Integration and deployment as well.
His or her work would include Exploring and analysing historical Data and raw Data with data mining techniques and working on providing solutions for Automation with a wide variety of sources of data, working with other Data Lake team members and collaborating in building the Data Lake and enhancing Data and providing Insights for the Lake and building Api s, constantly enhancing the API capabilities and solving complex problems.
Must have
Computer skills
Practice of programming in Python
Comfortable working in Linux and windows environment
Practice of source control, code review, testing frameworks
Practice of Big Data frameworks, like Hadoop, Spark
Knowledge of both Sql and noSql databases (Columns, Documents, Key-Value)
Cloud
Basic knowledge of cloud environment, constraints and opportunities
Statistics
Basic statistics knowledge, probability, correlation, regression, linear algebra, stochastic process
Practice of data analysis, data cleanup, data investigation, how to detect and handle unbalance, bias and noise
Proficient in data structures and algorithms, in particular: lists, queues, trees, graphs, and sorting, searching, traversing, dynamic programming, and map-reduce pattern
Knowledge and practice of ML and NN algorithms and frameworks
Knowledge and practice of Natural Language Processing
Others
Practice of data mining and data science projects, from understanding the problem to presenting results and deploying in production
Communication skills, project presentation, capacity to popularize technics and results
Knowledge of Data Mining / Data Science projects and publications
Nice to have
Computer skills
Practice of programming in other languages like R, java, Julia, Matlab
Practice working on Jupyter notebook/lab or VS Code
Practice working on Git/Github
Cloud
Practice on AWS cloud / SageMaker
RoleData warehouse Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategoryDBA / Data warehousing
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
AutomationData analysisdata scienceLinuxData structuresWindowsData miningMATLABSQLPython"|30+ days ago|1|2612|['Automation', 'Data analysis', 'data science', 'Linux', 'Data structures', 'Windows', 'Data mining', 'MATLAB', 'SQL', 'Python']|Any Graduate|Any Postgraduate|
265|Staff SW Engineer|Not Disclosed|0 - 14 years|"Job description
  Job responsibilities:
Work independently, driving projects end to end and provide guidance to junior developers
Develop scalable, distributed, multi-threaded applications using Java/Spring
Build tools to automate our deployment pipelines
Build tools to report on status of operations and performance
Build automated tests and enable continuous delivery of the platform components
Collaborate with team members in design reviews, development and code reviews
Identify opportunities for future enhancements and refinements to standards, best practices and development methodologies.
Create documentation and procedures for development, deployment and maintenance
This is a hybrid position. Hybrid employees can alternate time between both remote and office. Employees in hybrid roles are expected to work from the office two days a week, Tuesdays and Wednesdays with a general guidepost of being in the office 50% of the time based on business needs.


Qualifications
Basic Qualifications:
6 years of work experience with a Bachelor s Degree or at least 4 years of work experience with an Advanced degree (e.g. Masters, MBA, JD, MD) or 0 years of work experience with a PhD degree
Preferred Qualifications:
8-14 years of work experience and a Bachelor s Degree or
6 years of work experience with an Advanced Degree (e.g. Masters)
5 years of experience with a PhD.
Experience of Installation/administration of Kubernetes Cluster
Solid Understanding of K8 APIs and internals of K8
Aware of CNCF landscape
Extensive knowledge of Docker, Docker Repository, Docker Cluster/ Docker Enterprise
Preferable Production implementation/maintenance of Docker Clusters
Experience in developing and extending APIs with Go Lang/Java Spring
Experience in installation/configuration of Istio
Solid understanding of Micro Segmentation
Experience of building software/frameworks for infrastructure automation/PaaS/Continuous Delivery
Extensive hands-on experience with Linux and Windows
Extensive knowledge of Dev Ops Echosystem
Process oriented with strong analytical and problem solving skills
Experience in Jenkins/GitOps/Build Pipeline
Work independently with minimal supervision
Work independently, driving projects end to end and provide guidance to Junior developers
Identify opportunities for future enhancements and refinements to standards, best practices
Collaborate and talk through your architecture and delivery decisions
Tackle the tough design and product problems
Strong interpersonal and communication skills
Preferable Experience in Implementation/Maintenance of Production K8 Clusters
Should be able to code in Go,/Java/Groovy/Python

Key words:
Java/Go Lang, Kubernetes, Istio, Operator, Helm, Installation / Configuration / Administration experience, Micro Segmentation, Tekton, Nats, Git Ops
RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :MBA/PGDM in Marketing, Medical-MS/MD in Psychology
Key Skills
AutomationPrototypeGITLinuxArchitectureAnalyticalPAASWorkflowWindowsPython"|17 days ago|1|138|['Automation', 'Prototype', 'GIT', 'Linux', 'Architecture', 'Analytical', 'PAAS', 'Workflow', 'Windows', 'Python']|Any Graduate|MBA/PGDM in Marketing, Medical-MS/MD in Psychology|
266|IT / CS Software Trainer|Not Disclosed|0 - 1 years|"Job description
To train Students / Corporate Professionals in the areas of Programming Languages like C, C, Java, Python, Data Science, Block chain etc.
To create customized contents, work sheets, assessments.
To conduct and Evaluate assessments
To generate Training reports
Upgrade to train on Data Sciences and Cloud computing (Training will be provided by us)
Experience: 0-1 year (Preferred)
Education: Bachelor s (Preferred)
Language: English (Preferred)
Desired Candidate Profile
B.E/BTech Degree with 0 -1-year Experience in training college students / Presented Papers or Seminars.
Proficiency in MS Office Package Creative, with strong interpersonal, presentation skills
Strong communication skills (active listening, speaking and writing)
English Advanced delivery skills including training, facilitating, and mentoring capability
Quick learner with technical aptitude (ability to learn new technologies with ease)
RoleBack End Developer
Industry TypeEducation / Training
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate, B.Tech/B.E. in Production/Industrial
PG :Post Graduation Not Required
Key Skills
MS Office packageTrainingCloud computingC++data scienceCorporateProgrammingPython"|30+ days ago|1|108|['MS Office package', 'Training', 'Cloud computing', 'C++', 'data science', 'Corporate', 'Programming', 'Python']|Any Graduate, B.Tech/B.E. in Production/Industrial|Post Graduation Not Required|
267|Software Engineer|Not Disclosed|0 - 1 years|"Job description
The data infrastructure that our customers build has never been more critical to our global economy. It s what s keeping the world connected, businesses running, and information flowing. If you re ready to excel, innovate, and truly enjoy your work, apply now for the position detailed below.
Job Responsibilities:
Develop, integrate and unit test Cryptographic and Network security Protocol (C/Python)
Perform case studies and prototype modules for future products
Work with fellow engineers to enhance existing Marvell and open source software products
Requirements:
Bachelor s/Masters degree in Computer Science, Electronics, Electrical Engineering or related fields, or the equivalent work experience that provides knowledge and exposure to theories, principles and concepts
RoleManual Test Engineer
Industry TypeElectronic Components / Semiconductors
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategoryQuality Assurance and Testing
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Computer scienceSemiconductorPrototypeNetwork securityInfrastructureManager TechnologySoftware Engineer InternOpen sourceAutomotivePython"|30+ days ago|1|503|['Computer science', 'Semiconductor', 'Prototype', 'Network security', 'Infrastructure', 'Open source', 'Automotive', 'Python']|Any Graduate|Any Postgraduate|
268|Software Trainee (c#/.net/ java/ android/ ios/ c++)|₹ 1,50,000 - 2,50,000 P.A.|0 years|"Job description
- Are you looking for a career change into IT?
- Do you have good logical and analytical skills?
- Join our 3-months intensive software training, leading to permanent employment with a fast growing product company after successful completion

Required Candidate profile
- Very good logical and analytical skills
- Strong interest in programming/coding
- Theoretical knowledge about IT/software but lack of practical skills
- Freshers with excellent C coding skills
RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
Key Skills
C#JAVAc++CDesign PatternsData StructuresOOPSObject Oriented DesignJ2EeiosAndroiddartOOPflutterAlgorithmsJava Architecture.NETperlPython"|8 days ago||9439|['C#', 'JAVA', 'c++', 'C', 'Design Patterns', 'Data Structures', 'OOPS', 'Object Oriented Design', 'J2Ee', 'ios', 'Android', 'OOP', 'Algorithms', 'Java Architecture', '.NET', 'perl', 'Python']|Any Graduate||
269|Software Engineer II|Not Disclosed|0 - 2 years|"Job description
Playing a key role in strategic projects to automate Tower s production environment
Disrupting traditional processes and practices by developing innovative applications that solve real-world problems
Being responsible for the wide range of internal systems and tools
Performing day-to-day business operations to continually support the enterprise
Creating and expanding our in-house tools and helping to develop an agile framework that adapts to quickly evolving requirements and business needs
Liaising with and supporting other technical teams
Building software to collect, analyze, and visualize large amounts of data
Identifying opportunities to use technology to solve trading infrastructure management challenges
Learning about and keeping up with the latest technologies


A bachelor s degree (or equivalent) in computer science from a top college or university
0-2 years of relevant experience in designing and improving information systems
Strong knowledge of the full web p
RoleBack End Developer
Industry TypeInvestment Banking / Venture Capital / Private Equity
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Computer scienceLinuxInfrastructure managementSoftware Engineer IIFinanceAgileResearchDistribution systemBusiness operationsPython"|30+ days ago|1|563|['Computer science', 'Linux', 'Infrastructure management', 'Finance', 'Agile', 'Research', 'Distribution system', 'Business operations', 'Python']|Any Graduate|Post Graduation Not Required|
