|position|salary|experience|job_desc|Posted:|Job Applicants:|key_skills|UG :|PG :|Openings:|Doctorate :
247|Associate Software Developer|Not Disclosed|0 - 1 years|"Job description
Hello Candidate,

Greetings from Hungry Bird Consulting Services!!

We are hiring Associate Software Developerr for our client.

Location: Kondapur, Hyderabad,
Work type: Work from Office
Notice period: Immediate to 15 days
Experience: fresher

(Interested candidates can share their CV to aradhana@hungrybird.in or can reach us at 9959417171)


KRAs:

1 Basic Programming Skills
2 Good understanding of Object-oriented Programming and relational database design.
3 Should have a bachelors degree or equivalent in computer science
4 Should be able to join us within a month.

Key Skills/Abilities:

1 Programming with one of the following languages: C#, Java, Python, C++
2 Web Application programming with .net core is a plus.
3 Proficient use of Windows/Linux operating Systems
4 Experience with at least one of the IDEs such as Visual Studio or Eclipse or Android

Experience Required

1 Must have implemented software projects as part of curriculum.
2 Should have personal software projects to present during the interview.

Skill Set:
ASP.NET, C#, MVC, SQL, Entity Framework, Web API, OOPs concepts, HTML,
CSS, Java Script, JQuery, .Net Framework,

Interested candidates can share their CV to aradhana@hungrybird.in or can reach us at 9959417171)

Please furnish the below mentioned details, that would help us expedite the process.
PLEASE MENTION RELEVANT POSITION IN SUBJECT LINE OF THE EMAIL.

Example: "" KRISHNA - HR MANAGER - 7YRS - 20DAYS NOTICE ""
Name:
Position applying for:
Total experience:
Notice period:
Current Salary:
Expected Salary:
Hope to receive response at the earliest.

Thanks and Regards
Aradhana
+91 9959417171

RoleSoftware Development - Other
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate, B.Tech/B.E. in Any Specialization
PG :MS/M.Sc(Science) in Any Specialization, MCA in Any Specialization
Key Skills
dot netfreshers
C#Software developerWeb APIBootstrap.HTMLOOPs conceptsSql Server 2008databasedot net developerMean StackJava ScriptC#.Net.net frameworkMySQL.NETEntity FrameworkPythonCSSSQL ServerJQuerySQL.net coreWeb ApplicationASP.NETMVCexpress.js
Skills highlighted with ‘‘ are preferred keyskills"|12 days ago|1466|['dot net', 'freshers', 'C#', 'Software developer', 'Bootstrap.', 'HTML', 'OOPs concepts', 'Sql Server 2008', 'database', 'dot net developer', 'Mean Stack', 'Java Script', 'C#.Net', '.net framework', 'MySQL', '.NET', 'Entity Framework', 'Python', 'CSS', 'SQL Server', 'JQuery', 'SQL', 'Web Application', 'ASP.NET', 'MVC']|Any Graduate, B.Tech/B.E. in Any Specialization|MS/M.Sc(Science) in Any Specialization, MCA in Any Specialization||
248|Full Stack Developer|Not Disclosed|0 - 3 years|"Job description
Job Description:

Strong Frontend Development skills using HTML5, CSS3, Javascript with popular framework/libraries like Node JS/Angular JS/ React JS/Jquery;
Strong Backend/API Development skills on Java/J2EE/Python/Node JS;
Strong SQL skills to work with database such as MySQL, Oracle, MS - SQL Server;
exposure to working in cloud platform GCP/AWS.
Experience on CI/CD framework and other DevOps practices
Strong communication, Analytical, Team Player
Experience to work in Agile ( Scrum) and Waterfall methodology
Experience working in Onsite - offshore model

nODE js
RoleBack End Developer
Industry TypeRecruitment / Staffing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
MS SQLBackendjQueryAgile scrumGCPAnalyticalMySQLOraclePythonCSS3"|30+ days ago|939|['MS SQL', 'Backend', 'jQuery', 'GCP', 'Analytical', 'MySQL', 'Oracle', 'Python', 'CSS3']|Any Graduate|Post Graduation Not Required|1|
249|PHP Wordpress Developer|Not Disclosed|0 - 2 years|"Job description
PHP Wordpress Developer 0.6 to 2. years PHP-TL02
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
assembly languageCJavaScriptReal Time Operating Systems.NETHTMLOraclePythonSQL"|30+ days ago|583|[]|Any Graduate|Any Postgraduate|1|
250|Skills Developer , Intern|Not Disclosed|0 - 1 years|"Job description
Responsibilities
Develop data processing scripts using SQL and be able to optimize complex sequences of SQL queries
Support Skill Developers in building the cognitive skills for various use cases based on customer requirements
Design and build data warehouse models in columnar databases
Build data crawlers to extract data from customers sources using Aeras proprietary ETL platform, and troubleshoot the issues faced during data loading processing
Perform data analysis for complex use cases using SQL document technical specification for the cognitive applications that we are creating for the customers
About You
Bachelor s degree, preferably in computer science or equivalent
Knowledge in SQL and data modeling and analytics
Knowledge in Python/R is preferred but not mandatory
Can start immediately and available for a full time (in-office) internship
Must be available for 6 months minimum. Successful completion of internship with good performance will be considered for permanent role
Have relevant educational skills and an interest in pursuing a career in technology
Strong analytical, problem solving and creative thinking skills. Meticulous attention to detail
Excellent communication and documentation skills
RoleDatabase Architect / Designer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategoryDBA / Data warehousing
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Computer scienceSANAutomationData analysisData modelingAnalyticalInternshipAnalyticsSQLPython"|30+ days ago|611|['Computer science', 'SAN', 'Automation', 'Data analysis', 'Data modeling', 'Analytical', 'Internship', 'Analytics', 'SQL', 'Python']|Any Graduate|Any Postgraduate|1|
251|Fullstack Developer Trainee|Not Disclosed|0 - 2 years|"Job description
SynergIOTis an Indian start-up which works in close collaboration with smartdings, innovative technology company from Germany. At SynergIOTis and smartdings we innovate to create value for our customers by smartly using modern technology elements of AI, ML and IoT. With our experience we help our customers convert their business idea into reality by co-creation. With our accelerator visualizing platform easyvis.io we help to create unique experiences for end customers. Our solutions use full technology stack from Edge Devices to services provisioned in AWS cloud and accessible over Mobile Platform. To know more about us please visit: http://smartdings.com/#about
SynergIOTis is a family of enthusiastic software and hardware engineers, designers and business developers. We all share the passion to bring new products to market with technical excellence and a smart approach.
We ensure that our team is up-to-date on knowledge for using new technologies. We have regular knowledge sharing sessions in our team and we also reimburse relevant certification costs by team members. We enjoy our success by regular celebration of achievements.
You have a chance to be part of this family and channelize your passion to innovate.
We are looking for a fresh talent without any industry experience but trained into one or more following technology areas Javascript, React and Python (having worked with Ionic framework and C++ will give you extra edge) with knowledge of HTML and CSS. As a Full-stack Trainee developer you will be mentored to develop beautiful screens for web-application that are user friendly and visually appealing and also contribute to cloud API development. Having a strong sense of nice looking UI will help you excel.
You have a chance to interact with team members as well as customers located globally. Hence having good written and spoken English language skills is a must. As you would be developing the products or solutions using niche technology elements, we wish you possess at least an engineering bachelors degree or equivalent. Having you currently based out of Pune is an added advantage
So what are you waiting for? Go ahead and let us know about you by contacting us at recruit@synergiotis.in.
RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Electronics/Telecommunication, Computers, Electrical
Key Skills
Javascript
c++Html And CssReact.JsPythonionic framework
Skills highlighted with ‘‘ are preferred keyskills"|25 days ago|1703|['Javascript', 'c++', 'React.Js', 'Python', 'ionic framework']|B.Tech/B.E. in Electronics/Telecommunication, Computers, Electrical||2|
252|JUNIOR WEB DEVELOPER|Not Disclosed|0 - 2 years|"Job description
RESPONSIBILITIES:
Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.
Must be capable of performing work, with minimum to no supervision.
Take ownership of tasks as assigned to ensure successful implementation
Strive to achieve the highest level of quality
Perform other duties as required or assigned.
REQUIRED SKILLS QUALIFICATIONS:
Strong analytical skills
Excellent communication skills, both verbal written
Knowledge of web development using any of the following ReactJS, Angular, jQuery, Java, Spring, Python, Django, Node.js
Knowledge of at least one databases (e.g. MySQL, PostgreSQL, SQL Server, Oracle, MongoDB)
Familiarity with HTML5 and CSS
Knowledge of version control system e.g. Git, SVN
Keyskills
Java
HTML 5
CSS 3
jQuery
Angular 8
SQL Server
Oracle
MySql
Spring
Python
PostgreSQL
Reactjs
MongoDB
Node.js
Django
Git
SVN
Desired candidate profile
Qualification: Bachelors degree in a Computer Science related field is preferred
RoleFull Stack Developer
Industry TypeManagement Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
jQueryGIThtml5PostgresqlDjangoMySQLMongoDBOracleSQLPython"|30+ days ago|1611|['jQuery', 'GIT', 'html5', 'Postgresql', 'Django', 'MySQL', 'MongoDB', 'Oracle', 'SQL', 'Python']|Any Graduate|Any Postgraduate|1|
253|Android Developers|Not Disclosed|0 - 2 years|"Job description
Android Developers Full Time 0- 7 years
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
assembly languageSix SigmaPMPCJavaScriptReal Time Operating Systemsandroid.NETHTMLOraclePythonSQL"|30+ days ago|877|['assembly language', 'Six Sigma', 'PMP', 'C', 'JavaScript', 'android', '.NET', 'HTML', 'Oracle', 'Python', 'SQL']|B.Tech/B.E. in Computers|Post Graduation Not Required|1|
254|iOS Developers|Not Disclosed|0 - 2 years|"Job description
iOS Developers Full Time 0- 7 years
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
assembly languageSix SigmaPMPCJavaScriptReal Time Operating Systems.NETHTMLOracleiosPythonSQL"|30+ days ago|523|['assembly language', 'Six Sigma', 'PMP', 'C', 'JavaScript', '.NET', 'HTML', 'Oracle', 'ios', 'Python', 'SQL']|B.Tech/B.E. in Computers|Post Graduation Not Required|1|
255|Angular 4 Developer|Not Disclosed|0 - 2 years|"Job description
Angular 4 Developer 0.6 to 2. years Angular- TL02
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
assembly languageCJavaScriptReal Time Operating Systems.NETHTMLOraclePythonSQL"|30+ days ago|737|['assembly language', 'C', 'JavaScript', '.NET', 'HTML', 'Oracle', 'Python', 'SQL']|Any Graduate|Any Postgraduate|1|
256|PHP Codeigniter Developer|Not Disclosed|0 - 2 years|"Job description
PHP Codeigniter Developer 0.6 to 2. years PHP CI- TL02
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
assembly languageCJavaScriptReal Time Operating Systems.NETHTMLOraclePythonSQL"|30+ days ago|388|['assembly language', 'C', 'JavaScript', '.NET', 'HTML', 'Oracle', 'Python', 'SQL']|Any Graduate|Any Postgraduate|1|
257|Java Developer|Not Disclosed|0 - 3 years|"Job description
Java Developer

0.6 to 3. years

JAVA- TL01

Apply Now
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
assembly languageCJavaScriptReal Time Operating Systems.NETHTMLOraclePythonSQL"|30+ days ago|2069|['assembly language', 'C', 'JavaScript', '.NET', 'HTML', 'Oracle', 'Python', 'SQL']|Any Graduate|Any Postgraduate|1|
258|Dot Net Developer|Not Disclosed|0 - 2 years|"Job description
Dot Net Developer 0.6 to 2. years .Net- TL02
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
assembly languageCJavaScriptReal Time Operating Systems.NETHTMLOraclePythonSQL"|30+ days ago|322|['assembly language', 'C', 'JavaScript', '.NET', 'HTML', 'Oracle', 'Python', 'SQL']|Any Graduate|Any Postgraduate|1|
259|Fresher Developers|Not Disclosed|0 - 2 years|"Job description
Strong coding skills, good analytical and problem-solving skills.
Training or project in .Net/React/Node/Python.
Good academic scores. BE CS/IT, MCA, MCS Comp Science.
Must have excellent written and verbal communication skills.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :MCA in Computers
Key Skills
TrainingCodingAnalyticalDeveloperPython"|30+ days ago|1751|['Training', 'Coding', 'Analytical', 'Developer', 'Python']|Any Graduate|MCA in Computers|1|
260|Web Developer|₹ 3,00,000 - 6,00,000 P.A.|0 - 3 years|"Job description
Develop quality web applications
maintain existing software applications
Design highly scalable, testable code
Integrating back-end services with front-end application
Working with ReactJS, React Native, Python, SQL

Required Candidate profile
Bachelor's degree or equivalent experience in Computer Science or related field
Web development experience with ReactJS, React Native, Javascript, Nodejs
SQL database or relational database skills
RoleFront End Developer
Industry TypeSoftware Product
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Graduation Not Required
Key Skills
React.Js
JavascriptReact NativeSQLPython
Skills highlighted with ‘‘ are preferred keyskills"|3 days ago|346|['React.Js', 'Javascript', 'SQL', 'Python']|Graduation Not Required||2|
261|Freshers Jr PHP Developers|Not Disclosed|0 - 1 years|"Job description
Freshers Jr PHP Developers(Immediate joining) JobDescription:
BCA/ BE/ MCA / B.Tech/ Diploma(Computer science, IT)
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
assembly languageJavaScript.NETphpHTMLmcaOraclePythonSQL"|30+ days ago|1036|['assembly language', 'JavaScript', '.NET', 'php', 'HTML', 'mca', 'Oracle', 'Python', 'SQL']|B.Tech/B.E. in Computers|Post Graduation Not Required|1|
262|Data Science / Data Engineer / Business Analyst / Full Stack Developer|₹ 4,00,000 - 6,50,000 P.A.|0 - 3 years|"Job description
Networth Corp is hiring freshers, students, dropouts for multiple technical disciplines:

Data Science
Data and Business Analysis
Data Engineering
DevOps
UI/UX Development
Full Stack Development

If you believe you can make a significant impact when coached, send us your application.
The role is fulfilling and offers exponential learning, but the benchmarks are high and it won't be a role that allows you to get comfortable.
Apply only if this excites you. Don't choose to send us your application if speed doesn't thrill you or if you are looking for less responsibility.

Pre-requisites:
Bachelor's degree or equivalent self education in a Quantitative or Technical field (Statistics, Mathematics, Finance, - Computer Science, Engineering, etc.)
Capability to learn and work with our technology standards
Good at a programming language with past work to show
Abstract and Tactical Thinking
Logical Reasoning Capability
Planning and time management
Demonstrated history of Structure and Discipline
Demonstrated history of being a good Team Player
Demonstrated history of Self Learning
Fluency in written and spoken English
Ability to engage in explanatory conversations

If you apply, you will be tested for the above mentioned skills.
If you believe you deserve to be part of a high performing Technology Team, then apply and get ready!
RoleOther
Industry TypeIT Services & Consulting
Functional AreaOther
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization
Key Skills
data sciencedata engineering
full stack developerCicd Pipelinebusiness analyst
Skills highlighted with ‘‘ are preferred keyskills"|17 days ago|4570|['data science', 'business analyst']|B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization|||
263|Software Engineer ( Freshers )|Not Disclosed|0 - 2 years|"Job description
Job description

Good understanding of OOPS concepts.
Good understanding of data structures and related algorithms.
Should be hands-on(basic working experience) with any of the programming languages: Java, JavaScript(Angular, React, Node.js, etc.), Python, SQL, and others.
Should be able to present an assignment/project done during the college period.
Good communication skills.
Location: Bangalore and Pune

Education:
B. Tech/B.E engineering degree 
Good to have a Postgraduate 
Education: B.E/B.tech(7 CPI) only
Start Date: Immediate or on completion of Graduation

Industrial Training: Offered Final Semester candidates who want to start training immediately, subject to college permission, till graduation shall be eligible for a stipend.

Desired Skills: 
The chosen candidates will be trained in the language/platform as per their interests and project requirements.


RoleSoftware Development - Other
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E.
Key Skills
algorithmsOOPjava.net
Node Js FrameworkDevopsPython
Skills highlighted with ‘‘ are preferred keyskills"|3 days ago|1142|['algorithms', 'OOP', 'java', '.net', 'Devops', 'Python']|B.Tech/B.E.|||
264|Associate Software Quality Analyst|Not Disclosed|0 - 2 years|"Job description
We are looking for an Associate Software Quality Analyst (Test Automation), reporting directly to the Manager, Software Quality. This is a full-time role expected to work 40 hours per week, based in our Pune office.
Responsibilities:
Working with a team in an Agile, Continuous Integration and Continuous Delivery Software Development process.
Upgrading and maintaining existing software and web services tests.
Working in dynamic DevOps oriented software development environment.
Understand web as well as desktop application functionalities.
Required Knowledge, Skills, Abilities, and Experience:
BE/MS (Computer Science Engineering ONLY) with 0-2 years of experience in Test Automation.
Project demonstrating experience developing products using C , .NET/C#, Python.
Experience in automation tools like Test Complete, WinAppDriver is a plus.
Experience in consumption of Cloud Services and REST interfaces.
Working in Microsoft Azure or consuming Azure services.
Knowledge of Agile Scrum Development, Test Driven Development, Continuous Delivery and DevOps processes.
Should be able to learn wide range of technologies to achieve automation.
Should be able to find gaps and write new Automated Tests and maintain it.
Strong analytical and problem solving skills.
Good Communication skills.
Excellent team skills and proven ability to work effectively across multiple teams and functional areas.
RoleOther
Industry TypeIT Services & Consulting
Functional AreaOther
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
MiningComputer scienceAutomationSimulationAnalyticalMicrostationtest driven developmentProject deliveryPythonRecruitment"|15 days ago|396|['Mining', 'Computer science', 'Automation', 'Simulation', 'Analytical', 'Microstation', 'test driven development', 'Project delivery', 'Python', 'Recruitment']|Any Graduate|Any Postgraduate|1|
265|Django Developer|Not Disclosed|0 years|"Job description
Python or Django Developer
Location: Bangalore
Salary: 15k-18K
Qualification: Any Graduate
Experience: Freshers
Year of Passout: 2017/18/19/20
Career gap candidates can apply
Those who want to start a career in IT can apply
More Details:8088945987
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
DjangoPython
NoSQLMySQLMongoDB
Skills highlighted with ‘‘ are preferred keyskills"|2 days ago|164|['Django', 'Python', 'NoSQL', 'MySQL', 'MongoDB']|B.Tech/B.E. in Any Specialization||10|
266|uReturn -Software Engineer / System Engineer / Data Engineer|Not Disclosed|0 - 3 years|"Job description
What the Candidate Will Do
Work with the product managers in one of the Engineering teams in HYD / BLR to develop the products for solving business needs
Enhance the products and provide extraordinary support
Demonstrate technical expertise & thought leadership
Define/create frameworks and abstractions that are reliable & reusable, anticipate future challenges, support the companys rapid growth, avoid surprising outcomes, and lessen the workload of other engineers
Identify and solve major architectural problems by going deep in your field or broad across different teams
Minimum qualifications
Bachelors degree or equivalent in Computer Science, Engineering, Mathematics or related field
4-year full-time Software Engineering work experience,WHICH INCLUDES 3-year total technical software engineering experience in any of the following areas:Android development using Java or Kotlin iOS development
Programming language (eg C, C , Java, Python, or Go) Programming language (eg JavaScript, CSS, Nodejs)
Programming and scripting language (eg Python, SQL, Java/Scala) Oracle ERP system integration experience
Architecting, building, and maintaining web applications
Architecting, building and maintaining scalable services
Big data frameworks (eg Spark, Flink, Presto), data modeling, and writing ETLs Designing pipelines or system components in the big data ecosystem
Note the 3-year total of specialized software engineering experience may have been gained through education and full-time work experience, additional training, coursework, research, or similar (OR some combination of these)
The year of specialized experience is not necessarily in addition to the years of Education & full-time work experience indicated.
RoleBack End Developer
Industry TypeInternet
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Computer scienceArchitectureData modelingSystem integrationSCALAOracle ERPios developmentSQLPythonandroid development"|24 days ago|1084|['Computer science', 'Architecture', 'Data modeling', 'System integration', 'SCALA', 'Oracle ERP', 'ios development', 'SQL', 'Python', 'android development']|Any Graduate|Any Postgraduate|1|
267|Data Engineer|Not Disclosed|0 - 5 years|"Job description
WHAT YOU BRING
Bachelor s Degree in computer science
Able to quickly pick up new programming languages, technologies, and frameworks
Able to influence and communicate effectively, both verbally and written, with team members and business stakeholders
Has a strong problem solving and analytical mindset
Strong understanding of solution and technical design
Strong understanding of data structures and algorithms
Has a passion for data solutions In-depth knowledge of scalable cloud
Experience with workflow scheduling tools such as Airflow
Experience with source control tools such as GitHub and related dev process
Experience with scripting languages such as Shell, Python Experience with relational SQL
Experience building data lake solutions leveraging one or more of following AWS, EMR, S3, Hive Spark
2+ years experience developing Data Analytic solution
ABOUT THE ROLE
Nike has embraced big data technologies to enable data-driven decisions. As Data Engineer, you will work with a variety of talented Nike teammates and be a driving force for building first-class solutions for Enterprise Data and Analytics. The ideal candidate will have programming experience, big data skills, comfortable with ambiguity and will enjoy working in a fast-paced dynamic environment.
WHAT YOU WILL WORK ON
Design and build simple (non - complex) reusable components of larger process or framework to support analytics products with guidance from experienced peers.
Design and implement product features in collaboration with business and Technology stakeholders.
Anticipate, identify and solve issues concerning data management to improve data quality.
Clean, prepare and optimize data at scale for ingestion and consumption.
Support the implementation of new data management projects and re-structure of the current data architecture.
Implement automated workflows and routines using workflow scheduling tools.
Understand and use continuous integration, test-driven development and production deployment frameworks.
Participate in design, code, test plans and dataset implementation performed by other data engineers in support of maintaining data engineering standards.
Analyze and profile data for the purpose of designing scalable solutions.
Troubleshoot straightforward data issues and perform root cause analysis to proactively resolve product issues.
RoleData Engineer
Industry TypeTextile & Apparel
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Computer scienceData managementData structuresWorkflowSchedulingData qualityAnalyticsSQLPythonData architecture"|6 days ago|2067|['Computer science', 'Data management', 'Data structures', 'Workflow', 'Scheduling', 'Data quality', 'Analytics', 'SQL', 'Python', 'Data architecture']|Any Graduate|Any Postgraduate|1|
268|Senior Application Developer|₹ 8,50,000 - 12,00,000 P.A.|0 - 5 years|"Job description
Attractive Salary & Benefits

Our Client believes innovation is at the heart of business and innovation isnt possible with the limitations of tradition. This belief created the tenets of ; Flexibility, Learning, Efficiency, Communication, Transparency. Every decision, process and best practice . 

The Job
Responsibilities-

Build and test both web and mobile applications for our organization 
Collaborate with the rest of the team to ensure applications align with the organizations goals, as well as customer needs
Find solutions to security threats, viruses, or errors that might hinder the performance of applications
Carry out regular security and performance checks
Remain current on technology trends to keep our application as innovative as possible
Stay on track of the application lifecycle to ensure necessary updates are completed on time
Character Qualities:
Good use of time management to see tasks through to completion
Critical and analytical thinking skills 
Keen attention to detail
Organized
Strong work ethic
Commitment to follow through
Proactive communication
Attitude of appreciation
Eagerness to learn
Seeking opportunities to become more efficient

Ideal Candidate

Bachelors degree with IT focused major 
Advanced technology experiences and skills
Professional English communication skills, written and spoken
5-7 years as a mobile and web developer, preferably HRIS, ATS or CRM applications
Ability to program in at least one programming language (e.g. JavaScript or Python)
Deep understanding of core programming principles, including design
Worked as a part of a project team for a minimum of three years
2 professional references
In addition to a current resume, provide a one page letter detailing why you are the best candidate for the position
Ref: 2Z2HKURR9L

RoleSoftware Development - Other
Industry TypeSoftware Product
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Application Development
RestThinking SkillsTime ManagementMobile ApplicationsWeb TechnologiesJavascriptProgrammingWeb DevelopmentPython
Skills highlighted with ‘‘ are preferred keyskills"|24 days ago|611|['Application Development', 'Rest', 'Time Management', 'Mobile Applications', 'Web Technologies', 'Javascript', 'Programming', 'Web Development', 'Python']|Any Graduate|Any Postgraduate|1|
269|Sr Developer - Automation|Not Disclosed|0 - 5 years|"Job description
Sr Developer - Automation
The Infrastructure Automation Engineer is responsible for in-depth and traceable automated design, creation of automated scripts, execution, analysing results and maintaining a defect register. He/She would also work with mission leads and domain leads in digital area to achieve quality outcomes and ultimately contribute to IM vision and strategy, to automate tasks to bring in Operational efficiency. The successful candidate will work closely with a range of stakeholders including the rest of the architecture team, Infrastructure Engineering, Cloud Platform Services, business analysts, and the IT Operations teams. A strong background in structured approach for automation is required for this role, as is a passion for quality and a continuous improvement mindset.
5+ Years, hands-on software development in the automation areas. Required Technical Skill Set Python, YAML, SQL Queries, Django Or Flask. Should have exposure working across multiple technologies. Technology areas to include Cloud, Virtualization, Network, Compute, and Storage
Work experience as a Python Developer minimum 5yrs
Work experience as a YAML/Ansible Developer minimum 2yrs
Develop Ansible playbooks and modules
Define and setup the process for managing Ops developed playbooks
Administer Ansible infrastructure, perform maintenance and configuration and provide SME level support
Hands on experience in Writing efficient SQL Queries (minimum 1yrs)
Expertise in at least one popular Python framework (like Django, Flask or Pyramid)
Web services development experience (WCF, Web API, REST or equivalent)
Provide technical support to IT ops around automation solution usage
Provide assistance to the DevOps team to develop, configure and administer overall DevOps and IT automation solutions.
Worked on any of Reporting or Business Intelligence Platform
Worked on Data transformation/ETL activities.
Work delivery in a timely manner
Experience in working on Agile projects
Quick Learner
Good problem-solving skills
Knowledge of Infrastructure.
Writing efficient, reusable, testable, and scalable code
Ready to Work in Shifts
RoleFull Stack Developer
Industry TypeBPO / Call Centre
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Automation
Web APIRESTDevOpsDjangoAgileSQL QueriesWCFYAMLproblem-solvingPython
Skills highlighted with ‘‘ are preferred keyskills"|16 days ago|465|['Automation', 'REST', 'DevOps', 'Django', 'Agile', 'SQL Queries', 'WCF', 'problem-solving', 'Python']|Any Graduate|Any Postgraduate||
