|Doctorate :|Job Applicants:|PG :|Posted:|UG :|experience|job_desc|key_skills|position|salary|Openings:
107||Less than 10||30+ days ago|B.Tech/B.E. in Computers, B.Sc in Computers, BCA in Computers|3 - 5 years|"Job description
Roles and Responsibilities
To get transparent and quick status update, apply on : :https://rb.gy/nxutv3

Do you wish to bring a sea of change for the indigenous and underprivileged tribes of our country? Then here is your chance. Read on.

Our client is a CSR arm of one of the largest steel companies in the country. They are involved in the rehabilitation and development of an endangered tribe in Jharkhand and other tribal and underprivileged communities across the country, enhancing their livelihood and improving their education and health system. The organisation has seen significant progress through its camps and programs targeting health, education, residential development and socio-economic improvement since its inception in 2009.

With a spend of over a crore rupees each year, the organization is formulating plans and strategies to reach various groups with unique needs and fulfilling them on multiple levels like individual, family, community and society at large. The founding team has done diverse philanthropic work personally and through the CSR initiatives over many years and added senior business and education forerunners to lead the team.

As a Full Stack Engr - MERN Stack, you will work with development teams and product managers to ideate software solutions.

What you will do:
Architecting, Developing, testing, and deploying robust products that are fast, scalable, and highly responsive
Designing client-side and server-side architecture
Building the front-end of applications through appealing visual design
Developing and managing well-functioning databases and applications
Designing and maintaining large and complex databases, both relational and non-relational databases.
Establishing, refining and integrating development environment tools and software as needed
Identifying production and non-production application issues as a part of the deployment
Deploying applications on the AWS cloud with the ability to quickly debug hosting-related issues.
Writing effective APIs
Testing software to ensure responsiveness and efficiency
Troubleshooting, debugging and upgrading software
Creating security and data protection settings
Building features and applications with a mobile responsive design
Writing technical documentation
Working with data scientists and analysts to improve software

Desired Candidate Profile
What you need to have:
BE/ ME/ BCA/ MCA- Any Computer/ IT Degree
Expertise in Mongo DB, Express js, React js, Node js, HTML5, CSS3, LESS/ SASS, Bootstrap.
3-4 years of experience in server management, Microservice, and AWS knowledge is not mandatory but will be preferable.
Strong analytical and problem-solving skills
Comfortable around both front-end and back-end coding languages, development frameworks, and third-party libraries.
Be a team player with a knack for visual design and utility.
Also familiar with Agile methodologies


RoleSoftware Developer
Industry TypeNGO / Social Services / Industry Associations
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers, B.Sc in Computers, BCA in Computers
Key Skills
server managementAgile MethodologiesDebuggingFull StackDeploymentMongo DBReact jsCSS3Mern StackCoding languagesMicroserviceExpress jsHTML5Node jsBootstrapLESS/ SASSAWSTesting"|['server management', 'Agile Methodologies', 'Debugging', 'Deployment', 'React js', 'CSS3', 'Microservice', 'HTML5', 'Node js', 'Bootstrap', 'AWS', 'Testing']|"Full Stack Engineer - MERN Stack | Development-based Non-Profit Co."|₹ 6,00,000 - 7,00,000 P.A.|4
108||Less than 10||30+ days ago|Any Graduate|4 - 8 years|"Job description
Roles and Responsibilities
Proficient in Test Methodologies, Bug Lifecycle, Test Case development, Risk Assessment
Proficient in Agile Methodologies, such as Scrum
Proficient in using Python/Java.
Proficient in API testing (using tools like Postman, RestAssured, and SOAPUI)
Proficient in using Selenium
Secondary requirement::
Working knowledge of data driven automation framework
Working knowledge of Jenkins (using pipeline for CI/CD)
Working knowledge of JIRA
Working knowledge of Cloud (Azure, AWS).



RoleTesting Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - QA & Testing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
JenkinsJavaTest MethodologiesSOAP UIAPI TestingAutomation FrameworkAgileAutomation TestingSeleniumJIRA"|['Jenkins', 'Java', 'SOAP UI', 'API Testing', 'Automation Framework', 'Agile', 'Automation Testing', 'Selenium', 'JIRA']|Test Automation Engineer|Not Disclosed|
109||Less than 10||30+ days ago||2 - 5 years|"Job description
Roles and Responsibilities
Salary : 3 LPA to 9 LPA
Experience : 2 to 5 Years
Work From Home Job due to Covid
Keyskills: ASP.NET core, SQL Server in an n-tier architecture, Web API




RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
Does Not Matter
Key Skills
Asp .NetWeb APISql Server
Skills highlighted with ‘‘ are preferred keyskills"|['Asp .Net', 'Sql Server']|DotNet Engineer at Pune|₹ 3,75,000 - 8,75,000 P.A.|
110||160|M.Tech in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Any Specialization|30+ days ago|B.Tech/B.E. in Any Specialization|15 - 20 years|"Job description
The Job
Your role, as a strategic member of the team, will bridge the gap between business capability and the technology solution by designing, planning, coordinating, and leading all activities related to the development and implementation of solution and data architecture using latest technology and Cloud native solutions along with the below mentioned job responsibilities:
Design the overall architecture, analyze multiple options for implementation, and select the most relevant in terms of technology, human and financial resources
Be a subject matter expert and ensure alignment to overall architecture goals
Collaborate with the product development & management teams by clearly articulating the target technical environment and direction, and ensuring compliance with those parameters
Provide thought leadership, technical expertise and mentorship during solution ideation, solution design, and solution implementation
Participate in assessing new and existing technologies, using rapid prototyping approaches to evaluate innovations and ensure new products and services can integrate into Operations.
Your Profile
We are looking for a highly motivated and innovative Director Architecture to join our client's growing and strategic Automotive Insights business to design the forecasting data and insights platform.
An Engineering Graduate from a reputed Institute with 15+ years working on design and implementation of information, solution or technical architecture, middleware and information analysis in a cloud and multi-tier environment
Deep expertise in data engineering and architecture leveraging distributed data acquisition, building, and optimizing data pipelines, pipeline architectures and integrated datasets, processing, and visualization technologies as the core foundation
In-depth knowledge of the architectural principles and services used to develop cloud architectures, worked on cloud migration efforts, review workload architectures, and provide guidance on how to address high-risk issues. Experience with Amazon Web Services (AWS) is highly recommended.
Comprehensive understanding of database technologies, enterprise application integration (EAI), microservices based API integrations and open data patterns


RoleSolution Architect / Enterprise Architect
Industry TypeAnalytics / KPO / Research
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategorySystem Design/Implementation/ERP/CRM
Education
UG :B.Tech/B.E. in Any Specialization
PG :M.Tech in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Any Specialization
Key Skills
Big Data AnalyticsData Engineeringsolution architectSoftware Architecturearchitectdata pipelineSolution Designdata architectDesignClouddata ingestionData Architecturebig dataAWSSolution Architecture"|['Big Data Analytics', 'solution architect', 'Software Architecture', 'architect', 'Solution Design', 'data architect', 'Design', 'Cloud', 'Data Architecture', 'big data', 'AWS', 'Solution Architecture']|Director Solution Architecture-Big Data Engineering|Not Disclosed|
111||90||30+ days ago|Any Graduate|4 - 9 years|"Job description
Roles and Responsibilities
Data Engineer with immediate to 30 days joining candidates only.
Experience - 4 to 8 years
Proficiency in scripting languages in python, pyspark, SQL
Experience in building and maintaining reliable and scalable ETL pipeline on big data/Cloudplatform through the collection, storage, processing, and transformation of large data-sets
Experience working with varied forms of data infrastructure inclusive of relational databases such as SQL, Hadoop,Spark
Experience in Database design/data modeling.
Must have strong experience in data warehouse concepts.
Experience in AWS cloud
Experience in Databricks(not mandatory)
Ensuring proper execution of Team's duties and alignment with business vision and objectives
Works closely with the businesss Data and Analytics teams and gathering technical requirements


Desired Candidate Profile
Data Engineer with 4+ years of experience on Python, ETL, DWH, AWS

Perks and Benefits
One of the best CTC offered MNCs, work from home until Covid, lot of perks like joining bonus, retention bonus, relocation expenses etc

RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
Data EngineeringETLPython
PysparkHadoopBig DataSparkData ModelingData WarehousingSQL
Skills highlighted with ‘‘ are preferred keyskills"|['ETL', 'Python', 'Hadoop', 'Big Data', 'Spark', 'Data Modeling', 'Data Warehousing', 'SQL']|Data Engineer|₹ 12,00,000 - 22,00,000 P.A.|20
112||70||30+ days ago|B.Tech/B.E. in Any Specialization|7 - 12 years|"Job description
Dear Candidate,

Your CV is found suitable for the position of


PLEASE REMEMBER TO POSITIVELY ANSWER ALL QUESTIONS GIVEN AT THE END OF THIS MAIL FOR QUICKER PROCESSING.

Position: Staff / Principal QA Engineer required for the Mobile Network INVENTOR COMPANY.



PLEASE REMEMBER TO POSITIVELY ANSWER ALL QUESTIONS GIVEN AT THE END OF THIS MAIL FOR QUICKER PROCESSING.

Staff / Principal QA Engineer Role

Job Description

The candidate should have 8-14 years of experience in:
Extensive experience in performance/load testing
Expert in functional, system and performance/Load testing of enterprise grade infrastructure telecom products
Expert in PyTest and Python programming language as automation
User level experience on Linux, including installing application software, troubleshooting and debugging
Good understanding of OS / networking concepts
Expertise in LDAP, UD, Diameter and HTTP interfaces
Hands-on database experience
Experience with highly available / scalable / distributed systems will be an added advantage
Customer-facing skills like solution architecture, software deployment and testing in customer lab / pre-production / production environments will be an added advantage

Essential Criteria

Bachelors (or better) degree in Computer Science, Engineering or equivalent relevant to Software Engineering
Highly Proficient in experience in performance/load testing with at least 8 years experience of testing high performance, low latency server applications for Linux/Unix based environments.
Expert in functional, system and performance/Load testing of enterprise grade infrastructure telecom products
Expert in PyTest and Python programming language as automation
Strong knowledge of OS/Networking concepts
Strong knowledge of TCP/IP networking
Strong communication skills both verbal and written
Desirable Criteria
Experience in mentoring other software engineers
Experience working directly with customers or with support/professional services teams to deliver solutions and critical fixes

PLEASE ANSWER THE FOLLOWING QUESTIONS FOR QUICKER RESPONSE

Total IT Experience ( in years ) :

Hands-on experience in C++ ( in years ):

Hands-on experience in performance/load testing ( in years):

Hands-on experience in enterprise grade infrastructure telecom products
testing ( in years ):

Hands-on experience in Unix/Linux in years:

Current Payroll Company Name:

Current CTC :

Expected CTC:

Official Notice Period:

Are you currently serving Notice Period ( Yes / No ):

If you are serving Notice, Which is your last working day with your current Company:

Current Location :

Ready to relocate to Pune :

Reason for change of job:

Native from:

Highest Educational Qualification:

Date of Birth:

Cell phone #

Email id:
-----------------------------------------------
PLEASE MAIL YOUR CV WITH ANSWERS TO ABOVE QUESTIONS TO nivedithatattittali@gmail.com

Best Regards,
Niveditha Tattittali

Senior Recruiter.
SMART SOOURCE.
email:nivedithatattittali@gmail.com


RoleQuality Assurance/Quality Control Manager
Industry TypeIT Services & Consulting
Functional AreaIT Software - System Programming
Employment TypeFull Time, Permanent
Role CategoryQA/Testing/Documentation
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
Performance TestingLinuxLoad Testing"|['Performance Testing', 'Linux', 'Load Testing']|Staff / Principal QA Engineer needed For the Network Infra MNC|Not Disclosed|2
113||84||30+ days ago|B.Tech/B.E. in Any Specialization|8 - 13 years|"Job description
Dear Candidate,

Your CV is found suitable for the position of SENIOR C++ PRINCIPAL Engineers required for the Mobile Network INVENTOR COMPANY,


PLEASE REMEMBER TO POSITIVELY ANSWER ALL QUESTIONS GIVEN AT THE END OF THIS MAIL FOR QUICKER PROCESSING.

Position: SENIOR C++ PRINCIPAL Engineers required for the Mobile Network INVENTOR COMPANY


Company Profile:

OUR CLIENT, empowers mobile operators to manage and monetize encrypted traffic. Based on the industrys most scalable NFV platform, our solutions alleviate RAN congestion, create new revenue opportunities and unify data from virtualized applications. The company provides solutions for mobile video traffic management, cloud data management and targeted promotions.
The companys global customer base consists of over 40 of the largest communication service providers including AT&T, Du, KDDI, Orange, Rogers, Sprint, Telus, T-Mobile, Telefonica, Telstra, Vodafone and Zain.

Please visit http://www.owmobility.com for more details.

PLEASE REMEMBER TO POSITIVELY ANSWER ALL QUESTIONS GIVEN AT THE END OF THIS MAIL FOR QUICKER PROCESSING.

Principal Software Engineer Role

Job Description
Individual contributor with over 8-14 years of experience in:
- Hands-on development skills in C / C++, troubleshooting and debugging on Linux / Unix platforms
- Excellent understanding of OS / networking concepts, socket-level programming
- Design and development of complex enterprise software
- Very Good understanding of architecture and challenges of highly available, distributed, scalable server-side software and databases
- Expertise in LDAP, UD, Diameter and HTTP interfaces
- All-round view of software development lifecycle: requirements, architecture, design, unit test automation, source code control and release aspects, Agile processes, etc.
- Ability to analyse technology choices and select the most suitable options
- Hands-on experience working with relational and / or NoSQL databases
- Ability to mentor and guide other team members to achieve common goals
- Java skills will be an added advantage
- Customer-facing skills like solution architecture, software deployment and testing in customer lab / pre-production / production environments will be an added advantage
As a member of the development team you will;

Essential Criteria

Bachelors (or better) degree in Computer Science, Engineering or equivalent relevant to Software Engineering
Highly Proficient in C++ with at least 8 years experience of developing high performance, low latency server applications for Linux/Unix based environments.
Proficient is Python with experience of developing high performance, highly scalable server applications for Linux/Unix based environments.
Strong knowledge of OS/Networking concepts
Strong knowledge of TCP/IP networking
Strong communication skills both verbal and written
Desirable Criteria
Experience in mentoring other software engineers
Experience working directly with customers or with support/professional services teams to deliver solutions and critical fixes


PLEASE ANSWER THE FOLLOWING QUESTIONS FOR QUICKER RESPONSE

Total IT Experience ( in years ) :
Hands-on experience in C++ ( in years ):
Hands-on experience in data structures ( in years):
Hands-on experience in design methodologies ( in years ):
Hands-on experience in socket programming ( in years ):
Hands-on experience in Unix/Linux in years:

Current Payroll Company Name:
Current CTC :
Expected CTC:
Official Notice Period:

Are you currently serving Notice Period ( Yes / No ):
If you are serving Notice, Which is your last working day with your current Company:

Current Location :

Ready to relocate to Pune :
Reason for change of job:
Native from:
Highest Educational Qualification:
Date of Birth:
Cell phone #
Email id:


-----------------------------------------------

PLEASE MAIL YOUR CV WITH ANSWERS TO ABOVE QUESTIONS TO:

nivedithatattittali@gmail.com

Best Regards,
Niveditha Tattittali
Senior Recruiter.
SMART SOOURCE.





RoleTechnical Architect
Industry TypeSoftware Product
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
Software Development Life CycleC++CLinuxOSData StructuresSocket Programming"|['Software Development Life Cycle', 'C++', 'C', 'Linux', 'OS', 'Data Structures', 'Socket Programming']|Senior/Principal Development Engineer For MNC Cloud Data Company.|Not Disclosed|5
114||68|Any Postgraduate|15 days ago|Any Graduate|8 - 12 years|"Job description
Present products or services in your industry that would be beneficial for client business
Develop products or program suggestions for clients and successfully sell them
Follow up on solid products to ensure the customer is happy
RoleSales/Business Development Manager
Industry TypeEngineering & Construction
Functional AreaSales, Retail, Business Development
Employment TypeFull Time, Permanent
Role CategoryRetail Sales
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Communication SkillsPresentation SkillsRetail SalesSalesWritten CommunicationChannel SalesInterpersonal Skills"|['Communication Skills', 'Presentation Skills', 'Retail Sales', 'Sales', 'Written Communication', 'Channel Sales', 'Interpersonal Skills']|Sales Engineer|₹ 45,00,000 - 60,00,000 P.A.|3
115||Less than 10|Any Postgraduate, Post Graduation Not Required|30+ days ago|Any Graduate|8 - 13 years|"Job description
We are looking for Senior and Prinicpal Engineers for clouds platform team for a leading Security products firm.

Candidates are expected to come with development and design expertise on Java stack with considerable experience on AWS, Azure, Rack space, or similar clolud services.

Please reach out to discuss position and firm's vision in detail.
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate, Post Graduation Not Required
Key Skills
springcloud servicesjavaopenstackawsrackspaceazure"|['spring', 'java', 'openstack', 'aws', 'rackspace', 'azure']|Opportunity For Senior/Principal Engineer position in Bangalor|Not Disclosed|1
116|Doctorate Not Required|1625|Any Postgraduate|24 days ago|Diploma in Mechanical, B.Tech/B.E. in Any Specialization|1 - 3 years|"Job description
Knowledge of engineering 2D drawings, Measurement Tools and Metallurgy.Hands on experiance of measuring instruments and parts.Supplier quality and development.Detailed planning of quality inspections according to established delivery quality inspection plan .General knowledge of different welding processes, filler materials, shielding gases, heat inputs and pre-heating .Will work hands-on on various measurements, product inspection, quality issues, CMM measurements. documentation etc.
RoleQuality Assurance/Quality Control Executive
Industry TypeAutomobile
Functional AreaProduction, Manufacturing, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProduction/Manufacturing/Maintenance
Education
UG :Diploma in Mechanical, B.Tech/B.E. in Any Specialization
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
product inspectionQuality In processQuality inspection plastic moldingmachiningQMSforging automotivecastingquality issuesCMM measurements. documentation"|['Quality inspection', 'machining', 'QMS', 'forging', 'casting']|Quality In Process & Quality Inspection Engineer|Not Disclosed|
117||143||24 days ago|Any Graduate|7 - 12 years|"Job description
Strong knowledge of DevOps Automation Platform tooling (Jenkins, Git/Bit Bucket, Ansible/Chef/Puppet etc)

Strong working knowledge in cloud platforms like AWS, Azure and GCP will be preferred. Well versed with cloud based DevOps practices is plus
Experience provisioning, operating, and maintaining systems running on AWS
Ability to identify and gather requirements to define a solution to be built and operated on AWS
Capabilities to provide AWS operations and deployment guidance and best practices throughout the lifecycle of a project
Knowledge of application deployment and data migration on AWS for different regions
Expertise in assessment, designing and implementing AWS solutions including aspects like compute, network, storage, identity, security, DR / Business continuity strategy, migration, CF templates, cost optimization, PowerShell, Terraforms, Ansible etc
Automating AWS tasks using AWS tools, sdks, cloud formation scripts, Python scripting is a must
Knowledge on hybrid public cloud design concepts
Experience with Microsoft Windows Servers and Linux System administration


RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
DevOpsAWS"|['DevOps', 'AWS']|AWS Engineer/architect - Hyderabad|Not Disclosed|
118||13||24 days ago|B.Tech/B.E. in Any Specialization|7 - 12 years|"Job description
Roles and Responsibilities 
The candidate must have worked on the production of 1000 + mm HDPE pipe
Location: Egypt
Must have a valid passport
Desired Candidate Profile 
Bachelor Status
Perks and Benefits 

RoleWorkman/Foreman/Technician
Industry TypePetrochemical / Plastics / Rubber
Functional AreaProduction, Manufacturing, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProduction/Manufacturing/Maintenance
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
HDPEoperaterproduction"|['HDPE', 'production']|HDPE PIPE (1000 mm) -Engineer - Egypt|Not Disclosed|
119||16||24 days ago|Any Graduate|2 - 7 years|"Job description
Roles and Responsibilities
Electrical Panels, Non-metallic / Plastic Enclosures, Industrial Plug and Sockets, Earthing, Lightning Protection systems, Surge arrestors
promoting products in Jharkhand state area by meeting customers and industries directly.
Generating enquiries and Closing orders with the customers

Desired Candidate Profile
Basic knowledge about the Electrical Products
Knowledge about the industries in Jharkhand state and should have good contacts with the persons in the industries
Willing to travel to all the places and industries inside Jharkhand state for promoting the products


RoleSales / BD Manager
Industry TypeElectrical Equipment
Functional AreaSales, Retail, Business Development
Employment TypeFull Time, Permanent
Role CategoryChannel Sales
Education
UG :Any Graduate
Key Skills
JharkhandProduct PromotionElectrical ProductsEarthingPanelsSales EngineerSales EngineeringPromotionsLightning ProtectionOrissaElectricals"|['Product Promotion', 'Electrical Products', 'Earthing', 'Panels', 'Sales Engineer', 'Sales Engineering', 'Promotions', 'Electricals']|Sales Engineer. Jharkhand Electrical Products|Not Disclosed|2
120||152|Post Graduation Not Required|30+ days ago|Any Graduate|3 - 6 years|"Job description
Proven work experience in software quality assurance
Strong knowledge of software QA methodologies, tools, and processes
Hands-on experience with automated testing tools
Keen eye for detail and a commitment to excellence
Be willing to help your teammates, share your knowledge with them, and learn from them
Be open to receiving constructive feedback and turning it into process improvements
Review and analyze requirements, specifications, and technical design documents, providing timely feedback
Develop detailed, comprehensive, and well-structured test plans and test cases
Prioritize and plan testing activities
Play the role of test engineer: Design, develop, and execute automated tests
Identify and report issues found, then verify that issues are resolved
Perform regression testing
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Embedded, EDA, VLSI, ASIC, Chip Design
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Software testingSoftware QAAutomation testingTesting toolsTechnical designRegression testingTest casesSoftware quality assuranceTesting"|['Software testing', 'Software QA', 'Automation testing', 'Testing tools', 'Technical design', 'Regression testing', 'Test cases', 'Software quality assurance', 'Testing']|Quality Assurance|Not Disclosed|1
121||242|MCA in Computers|30+ days ago|B.Tech/B.E. in Any Specialization|5 - 10 years|"Job description
Job Description

You will be responsible for the user interface, interaction and visual design across all the functions of Developer Experience.
You are a creative, passionate designer with a strong customer focus.
You adeptly translate business needs into compelling visual solutions.
You can break down business needs into simple user-centered designs.
You must be responsive, flexible, and able to succeed in a fast-paced collaborative peer environment.

Basic Qualification

Typography, visual design and project management experience.
Design degree required
Online portfolio required.
Adobe CS Suite (Photoshop, InDesign, Illustrator, Fireworks, Dreamweaver, etc)..
Knowledge of HTML5 required.
HTML/DHTML, CSS, and Flash action script coding is a plus.
MS Office, Excel and Adobe Acrobat.

Preferred Qualification

5 years of relevant experience working in an e-Commerce environment, ideally in a retail, publishing, ormedia company.
Strong understanding of online UX.
Experience of working in a fast-paced environment
A customer-centric design ethos
Experienced working closely with a Marketing Commercial department to run campaigns with a clear ROI.
RoleGraphic/Web Designer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
PG :MCA in Computers
Key Skills
Adobe AcrobatUXPublishingCodingIllustratorProject managementHTMLPhotoshopFireworksDHTML"|['Adobe Acrobat', 'UX', 'Publishing', 'Coding', 'Illustrator', 'Project management', 'HTML', 'Photoshop', 'Fireworks', 'DHTML']|Web Designer / UI UX Designer|Not Disclosed|1
122||24|MCA in Computers|30+ days ago|B.Tech/B.E. in Any Specialization|5 - 10 years|"Job description
Responsibilities

Elegantly implement page designs in standards-compliant dynamic XHTML and CSS.
Implement functionality in JavaScript/jQuery, JSP/Java, Mason/Perl
Collaborate with the design team to define the information architecture, advocating Web interaction design best practices with a focus on consistency and usability
Work closely with back-end developers to find ways to push the limits of existing Web technology in serviceof creating the best possible user experience
Interaction with UX team and business users
Some maintenance/updates to existing sites

Basic Qualification

Bachelorrsquos degree in Computer Science or equivalent.
3 years professional experience in software or web development.
Computer Science fundamentals in object-oriented design, data structures, and problem solving.
Proficiency with Java or an equivalent OO language.
Proficiency using modern web development technologies and techniques, including HTML5, CSS,JavaScript, Responsive Design, web services, etc

Preferred Qualification

Experience building large-scale web applications
5 years professional experience in software or web development
Experience developing AJAX interfaces with AJAX libraries and frameworks (e.g. ReactJS, JQuery, AngularJS,etc.)
Experience with MVC frameworks, Rails or Spring desired
Understanding of web services technologies such as REST, SOAP, HTTP, JSON
Ability to work in a fast-paced and agile development environment and to learn new frameworks/stacks
Strong customer focus, ownership, urgency, and drive
Passion for building a rich and innovative user experience
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - eCommerce, Internet Technologies
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
PG :MCA in Computers
Key Skills
jQueryJSPWeb developmentJavascriptXHTMLData structuresPerlHTTPMVCAjax"|['jQuery', 'JSP', 'Web development', 'Javascript', 'XHTML', 'Data structures', 'Perl', 'HTTP', 'MVC', 'Ajax']|Web Developer|Not Disclosed|1
123||39|Post Graduation Not Required|30+ days ago|B.Tech/B.E. in Any Specialization|5 - 10 years|"Job description
About the role
The Product Owner s mandate is therefore to maximize the impact and grow the adoption of this product by: creating a long-term vision for this product, improving its functionality and usability, building a strong brand, upgrading its implementation process, and forging strategic partnerships with complementary organizations.
The Product Owner for the Workforce Engagement Product will join a new team of Product Owners at Viamo. We are excited to create this team to provide more strategic direction to our offering, and increase the impact and value created for our partners. At Viamo, the Product Owners are responsible for the creation and implementation of the product strategy. They work in collaboration with our team of Product Managers within the engineering team who are responsible for leading the product development work
Key Responsibilities
Some of the key activities of the Product Owner include:
Empathize with Viamo s partners (our clients) to understand their priorities and how mobile engagement can increase the productivity of their staff. Viamo s partners include all large organizations working in emerging markets: international development agencies, healthcare providers, financial institutions, mobile network operators, agricultural input suppliers, etc.
Empathize with Viamo s users (our clients field staff) to understand how we can increase their engagement with Viamo s mobile solutions.
From these insights, and in collaboration with an internal product team, create a strategy and plan for our workforce engagement product that includes:
A technical roadmap with feature prioritization
An impact measurement plan and associated dashboards (internal and external)
A product marketing plan to create a unique brand for this product
A go-to market plan for the successive launch of new features
Work closely with all relevant Viamo departments (engineering, design, implementation, marketing, programs, partnerships and finance) to facilitate the execution of these plans.
Strengthen the product s value proposition through negotiations with potential external strategic partners.
Interpret the usage data, as well as client and user feedback, to refine the product strategy and plans.
Work with the product team to develop a comprehensive product vision for Viamo.
Key Performance Indicators
Quantitative:
Number of end users actively engaged through the Workforce Engagement product.
Monthly recurring revenue from the sale of the Workforce Engagement product.
NPS of clients of the Workforce Engagement product.
Qualitative:
Viamo-wide shared empathy for the clients and users of the Workforce Engagement product.
Viamo-wide alignment for the vision and direction of the Workforce Engagement product.
Contribution to Viamo s cross-departmental product strategy.
Team and Reporting Structure
You will be joining the new team of Product Owners, and report to the Chief Operating Officer.
Location
One of Viamo s 25 offices around the world, or anywhere with good internet.
Profile
Required
Demonstrated passion for Viamo s vision and mission
At least 5 years of experience in a Product Owner or Product Manager role. Specifically, we are looking for candidates who have experience working with clients and users in emerging markets (especially Africa and South Asia),
A track record of growing the usership and revenue of an enterprise product.
Experience in training, pedagogy, payroll management, mobile money, and/or workforce management.
Experience in a Saas or software platform company.
Experience in an entrepreneurial role. This is not a mature product and there is still a lot to figure out!
Excellent skills in facilitation, co-design, workshop development, communication skills, and experience in a role with leadership without authority .
Experience working in both a cross-functional, multi-cultural team environment and working autonomously to deliver on results with limited day-to-day oversight.
Desirable
Experience in a variety of Viamo s primary industries: international development, healthcare, financial services, telecommunications, agricultural value chains, etc.
Multilingual abilities, especially French, are an asset.
RoleProduct Manager
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
PG :Post Graduation Not Required
Key Skills
Mobile technologyFrenchField StaffStrategic partnershipsMobile phonesHealthcareEngineering DesignFinancial servicesProduct marketingProduct strategy"|['Mobile technology', 'French', 'Strategic partnerships', 'Mobile phones', 'Healthcare', 'Engineering Design', 'Financial services', 'Product marketing', 'Product strategy']|Product Owner|Not Disclosed|1
