|Job Applicants:|Posted:|UG :|experience|job_desc|key_skills|position|salary|Openings:|PG :|Doctorate :
12|Less than 10|2 days ago|B.Tech/B.E. in Computers|5 - 8 years|"Job description
Job Description
Job Title :
Technical Analyst
Department :
DTIT - IT
Grade:
Location
Mumbai
No. of vacancies
Qualifications :
B.E / B.Tech / MCA /Information Sys MBA
Job Description:
Evaluate/Recommend solution architecture.
Participate in the process of project planning to ensure that adequate timeframe is committed for IT activities and to ensure that all aspects of Change Management are covered.
Participate in Requirement and FSD analysis to ensure that solution is technically feasible and IT aspects are covered and also to control scope creep-ins
Ensure end to end project management methodologies are adhered, to ensure timely completion of projects in estimated costs
Co-ordination with Vendors to ensure appropriate solution is developed in accordance with the quality standards defined
Validate estimates given by the vendor on the timelines
Ensure proper volume estimations are carried out for new solutions, basis which stress tests can be planned and executed.
Ensure SIT (system integration test) & Implementation is planned & executed effectively for projects
Assist in UAT and ensure fixes are delivered by the vendor for any issues raised
Ensure zero unplanned or minimum possible downtime during production movement and the cooling period.
Production deployment is carried out in smooth manner
Ensure thorough documentation and evidences are maintained for NSI projects & enhancement, with a target of achieving zero Audit Failures.
Provide necessary technical consultation/ vetting to business teams
Studying all interface issues and provide consulting inputs to BTG/BSG team for impact remediation & inclusion of enhancements / changes in the impacted interface systems.
Doing parallel impact analysis and work toward minimizing IT risks.
Previous Experience Required :
Please specify the type of PREVIOUS EXPERIENCE & DUTIES in terms of -
Years of Experience: 4-8 years
Minimum 4-6 years of work experience in software development/testing for business critical applications preferably in Banking Domain.
Must have 2-4 years of experience on Web services(APIs – Via Web Service - FC-SOAP/REST)
Knowledge of SOA/Service Bus will be added advantage
Good knowledge on Web Logic Administration, Websphere, J2EE, JMS, JVMs / JDBC, XML.
Good Understanding of XML, JSON, Java Scripts etc
Work experience on RHEL,IBM AIX, Sun Solaris, Windows 2K8/12, MSCS Cluster
Work experience on RDBMS – Oracle 10g,11g, Oracle File safe, RAC – Oracle Golden Gate, Oracle Data Guard, RMAN, ASM, SAN, MySQL / MSSQL / DB2 – Other
Knowledge of Artificial Intelligence, Robotics Process Automation, & Machine Learning Technologies will be added advantage.
Exposure to application support / architectural concepts/design across diverse technology platforms
Good communication, Problem solving skills, Presentation & Networking Skills
Broad understanding of IT standards and methodologies.
Experience in managing cloud application will be plus
Team Size (Min & Max.)
NA
Nos.of Direct Reportee’s
(Min & Max.)
NARoles and Responsibilities


Desired Candidate Profile


Perks and Benefits


RoleProject Manager-IT/Software
Industry TypeBanking
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProject Management
Education
UG :B.Tech/B.E. in Computers
PG :MBA/PGDM in Information Technology
Key Skills
Weblogic IntegrationJavaXMLJavascriptPLSQLOracleSOAPWebsphere Administration"|['Weblogic Integration', 'Java', 'XML', 'Javascript', 'PLSQL', 'Oracle', 'SOAP', 'Websphere Administration']|Technical Analyst-Mumbai- Leading Bank|₹ 8,50,000 - 12,00,000 P.A.||MBA/PGDM in Information Technology|
13|21|2 days ago|Any Graduate|3 - 5 years|"Job description

All About You
Strong programming skills in Java, micro-service development and Junits.
Knowledge of Spring Cloud, Spring Boot, Tomcat.
Exposure to both SQL and NoSQL persistence technologies, e.g. MongoDB, Redis preferable.
Knowledge of software development test approaches & frameworks: ATDD/BDD, Unit tests, Cucumber, Spock.
Command of CI/CD principles and tools such as Maven, Jenkins, Chef.
Experience working with cloud hosting technologies such as PCF, Azure an advantage.
Full stack engineering experience with Angular an advantage.
Exposure to Splunk, Dynatrace or other monitoring solutions an advantage.
Excellent communication and collaboration skills.
Show initiative and demonstrates a willingness to take on challenging opportunities.
Highly motivated and interested in being part of a high performance team environment.
Education
Bachelor's degree in Information Technology, Computer Science or equivalent work
experience.
.

RoleDatabase Architect/Designer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
JavaMavenPcfTomcatNoSQLJUnitRedisSpring BootMongoDBSpring Cloud"|['Java', 'Maven', 'Tomcat', 'NoSQL', 'JUnit', 'Redis', 'Spring Boot', 'MongoDB']|Looking For Java Backend Developer- Immediate joiners will Be preferr|Not Disclosed|||
14|310|10 days ago|B.Tech/B.E. in Any Specialization|3 - 7 years|"Job description
*Working exp. in Magento 2.0
*Knowledge on HTML/CSS , JavaScript frameworks like Bootstrap
*Magento 2 frontend structure knowledge are required
*knowledge of Magento framework, System Architecture, Themes, Modules, Functionality, and Configuration.

Required Candidate profile
* In-depth knowledge Magento's code structure, extension architecture, theming hierarchy, and fallback components
*Comfortable talking with clients (via Skype, phone, email and in person)
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
PG :M.Tech in Any Specialization, MCA in Computers
Doctorate :Any Doctorate, Doctorate Not Required
Key Skills
CSSBackendFront Endmagento developerJavascriptBootstrapmagento programmerhtmlmagento 2magentomagento frontend"|['CSS', 'Backend', 'Front End', 'magento developer', 'Javascript', 'Bootstrap', 'html', 'magento']|Magento Developer|₹ 4,00,000 - 9,00,000 P.A.|2|M.Tech in Any Specialization, MCA in Computers|Any Doctorate, Doctorate Not Required
15|46|25 days ago|Any Graduate|3 - 6 years|"Job description
Job description
ABAP, OData, Interfaces and should be proficient in Module Pool
Object-oriented program techniques CDS views Adobe forms All types of Enhancements
Good communication skills
End to End Implementation

Required Candidate profile
ABAP, OData, Interfaces and should be proficient in Module Pool
Object-oriented program techniques CDS views Adobe forms All types of Enhancements
Knowledge of module pool programming
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
SAP ABAPABAP"|['SAP ABAP', 'ABAP']|SAP ABAP Consultant For client location (Mumbai)|Not Disclosed|2||
16|111|24 days ago|Any Graduate|3 - 6 years|"Job description
Create wireframes, storyboards, user / process flows and site maps to effectively communicate interaction and design ideas. Develop responsive code across multiple browsers, platforms, and devices, including smartphones and tablets.
Must : ReactJs/JS

Required Candidate profile
Proficiency in Adobe XD, Sketch, Zeplin, Photoshop, Illustrator prototyping and wire-framing tools
Experience in HTML5, CSS3 with JavaScript/ReactJS frameworks to design responsive web app.
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
CSSUXUIIllustratorUi/UX designerFrontend DevelopmentUI DevelopmentHTML5JavascriptReact.JsPhotoshopangularjs"|['CSS', 'UX', 'UI', 'Illustrator', 'UI Development', 'HTML5', 'Javascript', 'React.Js', 'Photoshop', 'angularjs']|ui/ux developer Illustrator/HTML5/CSS/ReactJS/JS|₹ 5,00,000 - 10,00,000 P.A.|3||
17|317|24 days ago|Any Graduate|6 - 8 years|"Job description
Provide expertise in the planning, constructing and execution of test scripts.
good understanding of Test Case Cycle, Bug Cycle

Required Candidate profile
Immediate joiner preferable.
Functional Testing artifacts, Requirement Analysis. Test Design, Test execution & Bug Mgmt,
Having hands-on experience in Azure DevOps or JIRA.
RoleTesting Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
AzureJIRAFunctional TestingDevops"|['Azure', 'JIRA', 'Functional Testing', 'Devops']|Functional Tester For client location ( Kolkata)|Not Disclosed|2|Any Postgraduate|
18|Less than 10|30+ days ago|B.Tech/B.E. in Any Specialization|3 - 5 years|"Job description
Roles and Responsibilities


Job Overview: Responsible for the analysis, design, development, and delivery of software solutions for the intranet. Define requirements for new applications and customization adhering to MasterCard standards, processes and best practices. Develop, customize, and test applications to integrate to MasterCards specifications.
Major Accountabilities:
Plan, design and develop technical solutions and alternatives to meet business requirements in adherence with MasterCard standards, processes and best practices.
• Perform day-to-day system development and maintenance activities of the team to meet service level agreements (SLAs) and create solutions with high level of innovation, cost effectiveness, high quality, and faster time to market.
Accountable for full systems development life cycle including creating high quality requirements documents, use-cases, and other technical artifacts including but not limited to detailed test strategy/test design, performance benchmarking and detailed estimates.
Perform system maintenance, production incident problem management, identification of root cause, remediation of the problems and on-call pager support schedule. Select appropriate technical frameworks and solution delivery methodology. Adapt to the technical artifact templates per the needs of the project and technology. Contribute ideas to help ensure that required standards and processes are in place.
Working knowledge of SharePoint online development methodologies including SPFX, REACT and FluentUI
Participate in PoCs (Proof of Concept) and help the Department with selection of Vendor Solutions, Technologies, Methodologies and Frameworks.
Collaborate with Vendor Resources for Support of Products.
Ensure knowledge transfer of vendor technology to MasterCard staff. Provide technical training to the other team members, where appropriate.
Follow and promote Quality Assurance and Quality Control processes in the department. Actively look for opportunities to enhance standards and improve process efficiency. Ensure adequate test coverage in Unit Testing, System Testing/Integration Testing and Performance Testing. Perform Quality Inspections and Walkthroughs throughout the SDLC including Requirements Review, Design Review, Code Review and Security Review to ensure compliance with MasterCard standards. o Education: Bachelor's degree in Information Systems, Information Technology, Computer Science or Engineering or equivalent work experience.

Knowledge / Experience:

3 to 5 Years of experience in related field. 3 to 5 years of experience in delivering secure solutions in the Financial Services Sector is preferred. o Broad understanding of Software Engineering Concepts and Methodologies is required.
Demonstrate MC Core Competencies.

Skills/ Abilities:
Must be high-energy, detail-oriented, proactive and have the ability to function under pressure in an independent environment.
Must provide the necessary skills to have a high degree of initiative and self-motivation to drive results.
Possesses strong communication skills -- both verbal and written and strong relationship, collaborative skills and organizational skills.
Willingness and ability to learn and take on challenging opportunities and to work as a member of matrix based diverse and geographically distributed project team.
Working knowledge of SharePoint online development methodologies including SPFX, REACT and FluentUI

RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Temporary/Contractual
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
Life CycleProductionSpfxIntegration TestingSystem TestingTechnical TrainingreactRoot CauseQuality AssuranceFluentUITest StrategyQuality Control"|['Life Cycle', 'Production', 'Integration Testing', 'System Testing', 'Technical Training', 'Root Cause', 'Quality Assurance', 'Test Strategy', 'Quality Control']|Looking For Share Point Developer Immediate Joining|Not Disclosed|||
19|272|30+ days ago|Any Graduate|8 - 13 years|"Job description
Work closely with the Development, Quality Engineering (QE) and Business Analyst (BA) Teams to help deliver on team commitments (code, testing, deployments and implementations) on a set schedule for both production support, enhancements, new development and delivery across all supported environments. Solid understanding of SDLC and agile development processes with expertise in Jira. Ensure working knowledge of the team backlog, team velocity and upcoming objectives while communicating delays and/or changes in priority to team members and to management immediately.

A seasoned, experienced professional with a full understanding of scrum methodology; able to resolve a wide range of issues in creative ways. Demonstrates good judgment in selecting methods and techniques for obtaining results. Exercises absolute transparency in communication.
Primary Duties and Responsibilities:
Attend and lead all team ceremonies (daily stand up, grooming, retrospective, planning, status)
Provide frequent status reports to management including progress, blockers, risks and general status.
Maintain progress and communicate on all initiatives for the team
Provide reports on team velocity for prioritized work
Able to identify and communicate possible bottlenecks and impediments to the team
Secondary Duties and Responsibilities:
Drive collaboration between development, QE, and product teams
Contribute to improving all our processes across the board
Stay abreast of open tasks and each team members velocity on assigned work
Ability to work with multiple teams with competing objectives and priorities
Sense of ownership and pride in all deliverables
Good time-management skills
Critical Qualifications:/Must Have Skills
7+ years of experience as a developer or scrum master for technology projects
Experience with both maintenance, support, and greenfield development projects
Independent worker, self-motivated
Proven knowledge and experience with agile and SDLC processes
Jira and basic project management (including reporting, dashboards, projects, etc.)
Excellent communication

Interested candidates, please send your profile to bavani.rameshbabu@innovasolutions.com along with the following details.

Current CTC
Expected CTC
Notice Period
RoleProject Manager-IT/Software
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProject Management
Education
UG :Any Graduate
Key Skills
Scrum Master"|['Scrum Master']|Scrum Master - Only Immediate Joiners - Innova Solutions|Not Disclosed|||
20|39|30+ days ago|Graduation Not Required|3 - 7 years|"Job description
Must have Skills/Requirements:

Excellent knowledge and experience with React Native minimum 3 year to 6 years
Strong fundamentals around Redux lifecycle, store and middleware.
Must have published at least 4 major React-Native app
Have good knowledge about functional component and hooks
Experience with consuming REST APIs
Experience in Social API integration, Push notification, Third-party API integration.
Experience with Firebase Realtime Database
Strong UX/UI design exposure and experience in making apps work intuitively and with pixel perfect interfaces.
Have good knowledge of animation
Knows how to embed React-Native in a native(iOS/Android) component and vice versa
Experience with Unit Testing Framework (Jest and Enzyme) Detox will be plus
Experience with Typescript is a plus
Should be familiar with integrating different libraries like Google Maps, Firebase
Understanding of REST APIs, the document request model, and offline storage
Should able to design responsive UI
Native (IOS/ ANDROID) SDK integration

Good to have Skills/Requirements:

Experience and understanding of large and complex code bases and architectures.
Experience with Git, Github, Pull Request and Rebasing .
Good understanding of Design and Architecture Patterns
Javascript and typescript knowledge
ES6 knowledge
Collaborate with other team members and stakeholders
Optimise applications for maximum speed and scalability
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Graduation Not Required
Key Skills
Team LeadingReact Native"|['Team Leading']|React Native- (3-7 Yrs)|Not Disclosed|||
21|165|27 days ago|Any Graduate|2 - 6 years|"Job description
Roles and Responsibilities

3+ years of industry experience in Java.
Experience in Microservices, Jenkins, docker
Good Experience in Spring/Spring Boot, Java SE, Rest web services, Java JDBC API, Swagger Contract API
Experience in one database like oracle, Postgres etc.
Experience in working in onsite and offshore model
Experience with any one of the Source controls like bitbucket, Git
Excellent problem solving and analytical skills
Should have done projects using Agile methodology
Should be self-motivated and Smart working
Candidate should have excellent communication skills both oral and written
Should be willing to learn

Perks and Benefits
Option to 'work from home'
5 days working
Health care benefits
Flexible work hours
Accidental Coverage

RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Spring BootJava SEMicroservices
JenkinsRestGITDocker
Skills highlighted with ‘‘ are preferred keyskills"|['Spring Boot', 'Java SE', 'Microservices', 'Jenkins', 'Rest', 'GIT', 'Docker']|Smartek21 : Hiring For Java-Microservices Developer|Not Disclosed|3|Any Postgraduate|
22|251|30+ days ago||10 - 17 years|"Job description
Min 10+ years’ experience in IT Infrastructure and Cloud domain with minimum of 3+ years in a solution architecture role using service and hosting solutions such as private/public cloud IaaS, PaaS, and SaaS platforms. Exp in (AWS), (GCP)

Required Candidate profile
Exp using Logic Apps, Azure Functions, Power Platform to build solutions.Exp with prg and scripting languages PowerShell, Python, Bash etc. Azure cloud with scripting and automation side is mandatory
RoleTechnical Architect
Industry TypeIT Services & Consulting
Functional AreaIT Software - DBA, Datawarehousing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
PG :Any Postgraduate
Key Skills
PowerShellCloud ComputingArchitectureAzure FunctionsPaaSLogic AppsBashcloud IaaSPythonSolution Architecture"|['PowerShell', 'Cloud Computing', 'Architecture', 'PaaS', 'Bash', 'Python', 'Solution Architecture']|Cloud Architect|Not Disclosed|1|Any Postgraduate|
23|630|27 days ago|Any Graduate|2 - 6 years|"Job description
Roles and Responsibilities
3-5 years of industry experience in Java
Solid understanding of object-oriented programming
Good Experience in JSP / Servlets development
Good Experience in frontend development
Good Experience in Core Java, J2EE and Spring Framework
Good experience in any RDBMS database like oracle, MySql etc.
Very good working experience in JSP tag libraries
Experience with any one of the Source controls like SVN, Git, TFS etc
Experience in Continous Integration tools like Jenkins/Go
Should have experience in Junit and Mocking frameworks like JMockit
Excellent problem solving and analytical skills
Should be self-motivated and Smart working
Candidate should have excellent communication skills both oral and written
Should be B.E, B.Tech, MCA, M.Sc. qualified


Perks and Benefits
Option to 'work from home'
5 days working
Health care benefits
Flexible work hours
Accidental Coverage
RoleIT/Technical Content Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :Any Graduate
Key Skills
Core JavaHibernateJavascriptSpringJQuery"|['Core Java', 'Hibernate', 'Javascript', 'Spring', 'JQuery']|"Smartek21 - Hiring For Core Java Developer || Remote Work Option"|Not Disclosed|5||
